Country,COW id,V-Dem id,ID,IDN,YEAR,freexp,freass,frerel,fremov,fairtrial,ctot_index,ctot_pct_change,ctot_cum3,bust,bust_onset,recovery,recovery_onset,bust_event_time,recovery_event_time,country_id
Afghanistan,700,36.0,AFG,1,1975,1,1,3,2,2.0,99.4197845459,,,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1975,1,1,3,2,2.0,99.5233001709,0.10411974384456624,0.10411974384456624,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1976,1,1,3,2,2.0,99.5677947998,0.04470775067104693,0.14882749451561317,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1976,1,1,3,2,2.0,99.7451400757,0.17811509861855868,0.32694259313417184,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1977,1,1,3,2,2.0,99.5793609619,-0.1662026978699771,0.056620151419628506,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1977,1,1,3,2,2.0,99.7387924194,0.1601049213009187,0.17201732204950027,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1978,1,1,2,2,1.0,99.5906829834,-0.1484973222627417,-0.15459509883180012,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1978,1,1,2,2,1.0,99.6619873047,0.07159738156619078,0.08320498060436776,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1979,1,1,2,1,1.0,99.6468429565,-0.015195711634474751,-0.09209565233102568,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1979,1,1,2,1,1.0,99.7560882568,0.1096324751078015,0.16603414503951752,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1980,1,1,2,1,1.0,99.4739151001,-0.28286309300100676,-0.18842632952768001,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1980,1,1,2,1,1.0,99.6613693237,0.188445607485499,0.015214989592293726,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1981,1,1,2,1,1.0,99.3906478882,-0.2716412962586401,-0.36605878177414786,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1981,1,1,2,1,1.0,99.5717468262,0.18220923381415677,0.09901354504101567,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1982,1,1,2,1,1.0,99.3846359253,-0.1879156556594208,-0.27734771810390413,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1982,1,1,2,1,1.0,99.5793304443,0.1959000173289649,0.19019359548370085,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1983,1,1,2,1,1.0,99.4214553833,-0.1585419989224679,-0.15055763725292381,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1983,1,1,2,1,1.0,99.5639953613,0.14336943414323677,0.18072745254973377,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1984,1,1,2,1,1.0,99.4607009888,-0.10374671298110094,-0.11891927776033206,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1984,1,1,2,1,1.0,99.54712677,0.08689440184996844,0.12651712301210427,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1985,1,1,2,1,1.0,99.3922729492,-0.1555583027100127,-0.1724106138411452,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1985,1,1,2,1,1.0,99.4529037476,0.06100152114538737,-0.007662379714656886,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1986,1,1,2,1,1.0,99.3867111206,-0.06655675652065263,-0.16111353808527795,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1986,1,1,2,1,1.0,99.2987365723,-0.08851741576723082,-0.09407265114249608,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1987,1,1,2,1,1.0,99.4717559814,0.1742412996101006,0.019167127322217148,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1987,1,1,2,1,1.0,99.3901290894,-0.0820603710014467,0.0036635128414230778,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1988,1,1,2,2,1.0,99.4755477905,0.08594284148999431,0.17812377009864822,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1988,1,1,2,2,1.0,99.3036346436,-0.17281950259983025,-0.16893703211128264,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1989,1,1,3,2,1.0,99.475440979,0.17301112493677273,0.08613446382693679,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1989,1,1,3,2,1.0,99.3687286377,-0.10727506231665851,-0.10708343997971603,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1990,1,1,3,2,1.0,99.4702453613,0.10216164078151735,0.16789770340163157,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1990,1,1,3,2,1.0,99.4228897095,-0.047607856628884004,-0.052721278164025165,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1991,1,1,3,2,1.0,99.3708877563,-0.052303803834252705,0.00224998031838064,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1991,1,1,3,2,1.0,99.3076477051,-0.0636404208796959,-0.1635520813428326,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1992,1,1,2,2,1.0,99.344039917,0.03664593084318213,-0.07929829387076648,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1992,1,1,2,2,1.0,99.226524353,-0.1182915090811476,-0.14528599911766138,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1993,1,2,3,2,1.0,99.3511810303,0.12562838224237094,0.04398280400440546,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1993,1,2,3,2,1.0,99.1723480225,-0.1800008877050563,-0.17266401454383296,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1994,1,1,3,2,1.0,99.424156189,0.25390965477882776,0.19953714931614241,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1994,1,1,3,2,1.0,99.2597579956,-0.16535035317523095,-0.09144158610145947,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1995,1,1,3,2,1.0,99.4351119995,0.176661728217975,0.2652210298215718,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1995,1,1,3,2,1.0,99.3293991089,-0.1063134424794776,-0.09500206743673356,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1996,1,1,2,2,1.0,99.3735580444,0.044457064973868476,0.11480535071236586,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1996,1,1,2,2,1.0,99.2656402588,-0.10859808959620132,-0.17045446710181045,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1997,1,1,2,2,1.0,99.402961731,0.13833736612385295,0.0741963415015201,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1997,1,1,2,2,1.0,99.2890930176,-0.11455263647792702,-0.08481335995027539,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1998,1,1,2,2,1.0,99.3340835571,0.04531267043805798,0.0690974000839839,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1998,1,1,2,2,1.0,99.1779327393,-0.15719762261685588,-0.22643758865672492,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1999,1,1,2,2,1.0,99.2725830078,0.09543480680203054,-0.016450145376767367,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,1999,1,1,2,2,1.0,99.0917816162,-0.1821262085885178,-0.24388902440334315,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2000,1,1,2,2,1.0,99.3209228516,0.231241412418548,0.14455001063206074,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2000,1,1,2,2,1.0,99.1917800903,-0.13002573636268222,-0.08091053253265201,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2001,1,2,2,2,1.0,99.3309020996,0.14025558284500583,0.24147125890087162,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2001,1,2,2,2,1.0,99.1922454834,-0.13959061406787487,-0.12936076758555126,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2002,1,2,2,2,1.0,99.3481521606,0.1571762756657158,0.15784124444284675,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2002,1,2,2,2,1.0,99.1933746338,-0.15579306049878783,-0.1382073989009469,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2003,1,1,2,2,1.0,99.3843231201,0.19250125021448294,0.1938844653814109,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2003,1,1,2,2,1.0,99.2992248535,-0.08562544265374727,-0.04891725293805216,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2004,1,2,2,2,1.0,99.4710159302,0.1730034418228943,0.27987924938362996,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2004,1,2,2,2,1.0,99.3788528442,-0.09265320670361898,-0.005275207534471971,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2005,1,2,2,2,1.0,99.6040725708,0.22662741635093298,0.3069776514702083,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2005,1,2,2,2,1.0,99.4469680786,-0.15772898451349437,-0.023754774866180384,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2006,1,2,2,2,1.0,99.738243103,0.2928948262854947,0.3617932581229333,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2006,1,2,2,2,1.0,99.5335693359,-0.2052109208386943,-0.070045079066694,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2007,2,2,2,2,1.0,99.8214035034,0.2891830057140332,0.3768669111608336,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2007,2,2,2,2,1.0,99.6261825562,-0.1955702287769867,-0.1115981439016478,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2008,2,2,2,2,1.0,99.8793945313,0.2541620772803954,0.3477748542174419,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2008,2,2,2,2,1.0,99.8023452759,-0.07714229322430821,-0.018550444720899506,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2009,2,2,2,2,1.0,99.7564620972,-0.04597404857886733,0.13104573547721987,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2009,2,2,2,2,1.0,99.6255264282,-0.13125532546695018,-0.2543716672701257,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2010,2,2,2,2,1.0,100.1203231812,0.49665660071227524,0.31942722666645773,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2010,2,2,2,2,1.0,100.0506134033,-0.06962600167983446,0.2957752735654906,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2011,2,2,2,2,1.0,100.299949646,0.2492101089824672,0.676240708014908,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2011,2,2,2,2,1.0,100.2667999268,-0.03305058409002193,0.14653352321261082,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2012,2,3,2,2,1.0,100.0,-0.26608999887777207,-0.049930473985326795,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2012,2,3,2,2,1.0,100.0,0.0,-0.299140582967794,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2013,2,3,2,2,1.0,100.0335540771,0.033554077100017565,-0.2325359217777545,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2013,2,3,2,2,1.0,100.0461349487,0.012576651620621604,0.04613072872063917,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2014,2,3,2,2,1.0,99.8805236816,-0.16553489765989138,-0.11940416893925221,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2014,2,3,2,2,1.0,99.9378738403,0.05741876052114403,-0.09553948551812574,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2015,2,3,2,2,1.0,99.5950088501,-0.3430781314678555,-0.45119426860660283,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2015,2,3,2,2,1.0,99.6708526611,0.07615222075449957,-0.2095071501922119,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2016,2,3,2,2,1.0,99.7117156982,0.04099798086301121,-0.2259279298503447,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2016,2,3,2,2,1.0,99.7267379761,0.01506570997682477,0.13221591159433554,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2017,2,3,2,2,1.0,99.9172210693,0.1910050374310357,0.24706872827087167,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2017,2,3,2,2,1.0,99.8606719971,-0.05659592169879879,0.14947482570906168,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2018,2,3,2,2,1.0,99.9852676392,0.12476948092601248,0.2591785966582494,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2018,2,3,2,2,1.0,99.9039916992,-0.08128791562901361,-0.01311435640179992,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2019,2,3,2,2,1.0,99.8173675537,-0.08670739179353903,-0.043225826496540165,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2019,2,3,2,2,1.0,99.7928619385,-0.024550452291594027,-0.19254575971414667,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2020,2,3,2,2,1.0,99.7228088379,-0.07019850842955311,-0.18145635251468617,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2020,2,3,2,2,1.0,99.701499939,-0.02136812946639255,-0.11611709018753968,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2021,1,1,1,1,1.0,100.2393798828,0.5394903227424752,0.44792368484652956,0,0,0,0,,,0
Afghanistan,700,36.0,AFG,1,2021,1,1,1,1,1.0,100.0392227173,-0.1996791737279402,0.31844301954814247,0,0,0,0,,,0
