test,coef,placebo_pval,n_perms,se,pvalue,n_busts,n_obs,mde,mde_sd
Placebo bust dates,-0.19882361187456815,0.012012012012012012,999.0,,,,,,
Bust threshold -15%,-0.10438962446732303,,,0.06029201599181592,0.08760474586837796,73.0,,,
Bust threshold -25%,-0.11684422416176844,,,0.0874439319615571,0.1856281530392272,15.0,,,
Bust threshold -30%,-0.1491243213466713,,,0.0628049520154399,0.02020783997177178,7.0,,,
Bust effect: freexp,0.06442455289229915,,,0.09135326707559827,0.4827447921216115,,,,
Bust effect: freass,0.015495968629586328,,,0.11471932808883659,0.8928943886365066,,,,
Bust effect: frerel,0.05405315381116325,,,0.04599378819300306,0.2434337430741702,,,,
Bust effect: fremov,-0.009099680312849474,,,0.07954552982739004,0.909214229701024,,,,
Bust effect: fairtrial,-0.19882361187456815,,,0.08370698717470354,0.0201658308788335,,,,
Excl COVID 2020-21: fremov,0.03394024922264322,,,0.08922729953756182,0.7046844522213263,,6530.0,,
Excl COVID 2020-21: fairtrial,-0.1890970534137739,,,0.10005636629428886,0.06274097154330249,,6084.0,,
Placebo: fremov,-0.009099680312849474,0.9259259259259259,999.0,,,,,,
Power analysis,,,,,,,,0.21118068075055085,0.22256412231140388
