id;Category;classification_code;;situationtext
2794;Libertarian;1;Respected the rules;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  the rules
2849;Meritocrat - margin matters;3;Meritocrat because he recognized that one had performed better - but how much given to loser depends on margin;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  The numbers where so close it isn't fair to that participants time to not get a bonus
2532;Libertarian;1;Respected the rules;Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The instructions said that the person with fewer correct answers would get nothing and the person with the most correct answers would get .15 per correct answer. Changing the bonus would not be right or moral.
568;Meritocrat - margin does not matter;2;Meritocrat because he recognized that one had performed better - but how much given to loser did not explicitly depend on margin;Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Although Participant Y solved 16 problems and Participant X solved 12 problems, I feel both should be compensated. Participant X should get something for solving the problems although they did not complete as many.
209;Meritocrat - margin does not matter;2;;Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  since they both took their time to solve the tasks they both deserve to receive a bonus, i allocated 2 dollars to participant Y because he solved more and the rest $1.15 goes tp participant X
3374;misunderstand;10;says that X has done better than Y when the opposite was the case;Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  It appears to me that X did better in their grouping than Y did in their's. Thus, a sharing of the wealth is appropriate.
2120;Libertarian;1;Did not want to take from what they earned;Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I had no reason to take what they earned.
1363;Meritocrat - margin does not matter;2;;Y barely outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to allocate some of the earnings of participant Y to participant X since he solved fewer problems, and it would be fair to redistribute some in this instance.
1481;Meritocrat - margin does not matter;2;;Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Xdid answer 11 questions. Even though Yanswered 4 more wuestions-I feel X should be given something for trying to answer as many as she could.
1497;Meritocrat - margin matters;3;;Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I feel like participant X lost by 6 to participant Y. Because of their results being close, I feel like participant X should b rewarded something for solving some right.
1252;misunderstand;10;Talked about sacrifice;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  maybe I failed to understand you fully but if one is getting 15 cents for each questin answered correctly, then participant x deserved to get sth agter answering 20 correct questions. Thats why I sacrificed 1 dollar.,
731;Meritocrat - margin matters;3;Meritocrat because he recognized that one had performed better - compensate loser becaus ehe felt the loser should get something;Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  The one participant guessed slightly less correct, so I felt like they deserved some money, but not fully half.
2999;Egalitarian;4;States that it is a good thing to share;Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  to be a good person and share
1882;Meritocrat - margin does not matter;2;States that the winner deserves everything;Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participan y deserved the full payment
3121;Meritocrat - margin does not matter;2;Meritocrat because he recognized that one had performed better - compensate loser becaus ehe felt the loser should get something;Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I believe they should receive something for participating.
1219;Meritocrat - margin matters - proportional;3;He justifies that equl is almost proportional to performance;Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Because he solved 1 less than participant Y hence equal distribution seemed a bit fair
1335;Meritocrat - margin does not matter;2;He justifies giving everything by the winner doing better;Y moderately outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Y did better and should therefore benefit more than X
1133;Fairness;6;Only a general reference tofairness;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  It promotes fairness.
372;Libertarian;1;Justifies by reference to the rules;Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The rules were to only compensate whoever answered more questions than the other.
1230;Meritocrat - margin does not matter;2;Believes that the other should get something becaise he exerted effort;Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  The main motivation is to acknowledge the efforts made by the other participant. It feels like a fair decision.
2321;Egalitarian;4;Justifies equal split by equality;Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  equality
1631;Meritocrat - margin does not matter;2;;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Even though it doesn't follow the stated rules, it seemed fair to compensate the person for answering 15 questions.
3287;Egalitarian;4;Justify decision with equality;Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Share equally in the outcome
2383;Meritocrat - margin matters;3;;Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Participant Y did solve more problems than Participant X, but only a few more.  Participant should receive a reward for their time and effort, and the number of problems they solved.
2927;Meritocrat - margin matters - proportional;3;Justified distribution by doing it proportional to performance;Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  X performed twice as well as Y so I wanted X to keep 2/3rds of the $.
1707;Incentives;8;The participant justified the distribution by reference to incentives;Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  To encourage participant X to solve more problems next time
1946;Meritocrat - margin does not matter;2;Argued that they deserved the same because they both participated and did the same task;Y moderately outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  They both participated and solved problems.
2076;Meritocrat - margin does not matter;2;;Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I think that participant X should also be recognized for the work they did.
227;Meritocrat - margin does not matter;2;Meritocrat becaise he recogniozed effort;Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I considered participant X's effort hence giving the 1 dollar
1881;Meritocrat - margin does not matter;2;He justifies giving everything by the winner doing better;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I think it's only fair to reward the person that got the most correct
3010;Meritocrat - margin matters;3;Meritocrat because he recognized that one had performed better - compensate loser becaus ehe felt the loser should get something;Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  X put forth a reasonable amount of effort and solved only 6 fewer questions than participant Y.
605;Meritocrat - margin does not matter;2;;Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  My decision was based on the fact that both participated and the chances that one would end up with nothing and one would end up with all would not be fair. The amount was able to be split to a more even amount for both participants. Also, I feel according to the rules the winner should still benefit more than the loser and thought that something slightly more/less than half would be sufficient enough. This is all due to the fact that I , being the decision maker, is aware of the rules for the participants of the previous study.
2193;Meritocrat - margin matters;3;;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The fact that Y got almost twice as many right as X was my primary driver. Because Y did better did not mean they should have to redistribute their earnings at all.
401;Fairness;6;Only mentions fairness in general terms;Y barely outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  fairness over competition
3291;Meritocrat - margin does not matter;2;;Y moderately outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I feel as if both tried. The higher performer deserves more but the other individual should be compensated also.
1400;Meritocrat - margin does not matter;2;;Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I thought it was fair that the person who did the work should get paid more.
2956;Meritocrat - margin matters;3;Reference to how many questions they have completed;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participate X has completed way more questions than Participate Y and it seems like they didnt try to compete for the earnings
2895;Meritocrat - margin matters;3;;Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I calculated approximately what the value of 12 versus 19 would produce out of the total of 2.85 in total earnings. I redistributed one dollar to participant X from this total leaving the remainder for participant Y based on their 19 answers. Y still earned more but in a more fair and just fashion, yes, it was fair in my opinion to give the dollar to X based on the 12 answers achieved.
2089;Meritocrat - margin matters;3;;Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose this amount because person x completed about half as many questions as person y.
1067;Meritocrat - margin matters;3;;Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  BECAUSE HE PARTICIPATED IN DOING SLIGHTLY LESS QUESTIONS THAN y
2161;Meritocrats - margin matters;3;Mention the productivity of both;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I thought is was a more fair distribution of funds based on the productivity of the participants.
1270;Meritocrats - margin matters;3;;Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I would give 1.00 to participant X to recognize their significantly greater effort and performance compared to participant Y.
329;Meritocrats - margin does not matter;2;;Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  participant x also participated it is only fair if he is paid something for the time he took to answer the questions
1488;Meritocrats - margin does not matter;2;The reason for one getting everything is skill;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  If the decision-making task was purely chance, I would say to share the money. But if time and thought went into solving the problems, Participant Y earned the money. That was based on skill and intellect.  I am okay with getting paid for skill and intellect.
177;Meritocrats - margin matters;3;;Y barely outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I felt it was fair to give the other person at least some bonus because they solved only 1 less problem correctly.
233;Libertarian;1;Justification is that this is according to rules;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participant Y solved double the problems that participant X solved. So I figured it was fair to stick with the way they were told the money would be distributed. I gave it all to the participant who solved the most problems.
1560;Logic;7;Most logical answer is justification;Y moderately outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  because it seem like the most logical answer
2995;Meritocrats - margin does not matter;2;;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Participate x did solve 11 problems and deserves some sort of compensation
2433;Meritocrats - margin matters;3;;Y moderately outperformed X. The DM gave an equal share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Assuming that both participants spent the same amount of total time on the task and put forth the same effort, I'm not sure one should be rewarded more for performing faster. Some people just don't test as quickly as others and I'm generally a fan of quality over quantity. It's hard to determine this without more information, but my inclination given that most participants completed around 14-16 problems is to divide the money equally.
643;Meritocrats - margin does not matter;2;;Y moderately outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Participant Y should earn more, but participant X should also earn something.
1864;Libertarian;1;Main justification is rules;Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  My decision to give $0.00 of participant Ys earnings to participant X was motivated by a commitment to fairness, merit, and respecting agreed-upon rules. Both participants were informed of the conditions before the task began: only the higher performer would be rewarded. Participant Y earned the payout by solving more problems, while participant X did not meet the threshold to earn money. Redistributing the earnings afterward would undermine the integrity of the incentive structure and create uncertainty for participants who relied on the original rules. Upholding the terms that were clearly communicated and agreed upon supports trust and fairness in the study.
151;Libertarian;1;Justification based on rules;Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  It is fair not to distribute anything because the rules were clear, and earnings were to be based on relative performance, and you solved for more than 15 times times X 10
810;Meritocrats - margin does not matter;2;;Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Participant x participated and answered 8 questions, as a little reward for taking part in the participation.
3307;No reason;9;Only describes what he did;Y moderately outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Gave them half.
164;Meritocrats - margin does not matter;2;Focus on effort as basis for meritocarcy;Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Both exhibited good effort
314;Meritocrats - margin matters;3;;Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Assuming Player X tried their best, they deserve something for their time.
296;Meritocrast - margin matters;3;;Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  They participated and answered few. Just gave them the share of their earning amongst the total of 25 in that they tried and didn't manage to solve more. Was motivated by their effort
1744;Meritocrat - margin does not matter;2;;Y barely outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participant Y won the competition fair and square by answering more questions. I don't think it's fair to take any of their earnings away and give it to Participant X.
42;Libertarian;1;;Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The rules of how the money would be distributed were clearly stated and I'm assuming that Participant X was aware of this, so it's not fair to penalize Participant Y and take away from their earnings when they did nothing wrong.
2831;Meritocrats - margin does not matter;2;;Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The rules in the game were that they would receive nothing if they did not meet the parameters. They did not do as many puzzles as the other, so they got zero. I don't think it is fair to punish the person that won!
2452;No reason;9;Only states that he likes to give, which is not relevant;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I like to give
336;Meritocrats - margin does not matter;2;;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Y earned the money fairly by solving more problems under the same conditions. Changing this now could undermine the principle of merit-based earnings.
2938;Meritocrats - margin matters;3;;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  That person did almost as many problems and should be compensated accordingly.
3212;No reason;9;Only states what he did;Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Want to share a small amount
