region	zone	woreda	kebele	village_id	_parent_index	crop	landscape	gender	age	education_years	yrsexp	extension_received	totalHH	hhsize_adultequiv	median_dist_fert	plot_owned	plotareaha	plotareaha2	use_infert	use_orgfert	hired_labour	use_impseed	use_rowplant	use_pesticide	plt_herbicideUse	plt_draftanimals	plt_intercrop	plt_croprotation	N_rate	P_rate	N_rate2	N_P	N_footslope	N_midslope	N_hillslope	ctot	ntot	oc	p	k	ph	sand	silt	clay	rain_sum	rain_cv	lnrain	price_dap	price_nps	price_npsb	price_npsZnb	price_urea	N_price_market	teff_price_market	wheat_price_market	Teff_N_ratio	Wheat_N_ratio	yield
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	1024	"Wheat"	"Midslope"	1.0	65	0	0	0	5	3.0	60.0	1.0	0.125	0.015625	1.0	1.0	0.0	1.0	0.0	0.0	1	1	0	1	186.4	68.0	34744.957	12675.199	0.0	186.4	0.0	22.9	11040	15.2	13.4	205	6.47	32.6	28.7	38.1	808.5304	1.5606483	6.695218			50.0		50.0	114.67	53.46	46.65		0.41	1200.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	756	"Teff"	"Footslope"	1.0	75	0	2	1	6	3.3	60.0	1.0	0.25	0.0625	1.0	0.0	1.0	0.0	0.0	1.0	1	1	0	1	28.32	4.76	802.0224	134.8032	28.32	0.0	0.0	22.9	11040	15.2	13.4	205	6.47	32.6	28.7	38.1	808.5304	1.5606483	6.695218			38.57143		40.2	114.67	53.46	46.65	0.47		1000.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	970	"Wheat"	"Footslope"	0.0	51	4	0	1	5	2.8	60.0	1.0	0.25	0.0625	1.0	0.0	1.0	1.0	0.0	1.0	1	1	0	1	96.399994	20.4	9292.959	1966.5598	96.399994	0.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			35.0		40.0	114.67	53.46	46.65		0.41	1200.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	756	"Wheat"	"Footslope"	1.0	75	0	2	1	6	3.3	60.0	1.0	0.125	0.015625	1.0	0.0	1.0	1.0	0.0	1.0	1	1	0	0	140.8	27.2	19824.64	3829.7603	140.8	0.0	0.0	22.9	11040	15.2	13.4	205	6.47	32.6	28.7	38.1	808.5304	1.5606483	6.695218			39.2		40.2	114.67	53.46	46.65		0.41	2400.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	1024	"Wheat"	"Midslope"	1.0	65	0	0	0	5	3.0	60.0	1.0	0.25	0.0625	1.0	0.0	0.0	1.0	0.0	0.0	1	1	0	1	36.8	0.0	1354.24	0.0	0.0	36.8	0.0	22.9	11040	15.2	13.4	205	6.47	32.6	28.7	38.1	808.5304	1.5606483	6.695218					50.0	114.67	53.46	46.65		0.41	600.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	886	"Wheat"	"Midslope"	0.0	57	0	0	0	3	2.0	60.0	1.0	0.5	0.25	1.0	0.0	1.0	0.0	0.0	1.0	1	1	0	1	65.0	17.0	4225.0	1105.0	0.0	65.0	0.0	22.9	11040	15.2	13.4	205	6.47	32.6	28.7	38.1	808.5304	1.5606483	6.695218			33.2		30.0	114.67	53.46	46.65		0.41	1500.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	741	"Wheat"	"Hillslope"	1.0	28	9	0	0	4	2.1	60.0	0.0	0.5	0.25	1.0	0.0	0.0	0.0	0.0	1.0	1	1	0	1	55.5	8.5	3080.25	471.75	0.0	0.0	55.5	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			25.68		25.7	114.67	53.46	46.65		0.41	800.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	738	"Wheat"	"Midslope"	1.0	45	0	0	1	3	1.8	60.0	1.0	0.25	0.0625	1.0	0.0	0.0	0.0	0.0	1.0	1	1	0	1	65.0	17.0	4225.0	1105.0	0.0	65.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			16.0		24.95	114.67	53.46	46.65		0.41	20.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	741	"Wheat"	"Hillslope"	1.0	28	9	0	0	4	2.1	60.0	0.0	0.75	0.5625	1.0	0.0	0.0	0.0	0.0	1.0	1	1	0	1	67.666664	5.6666665	4578.7773	383.44443	0.0	0.0	67.666664	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			25.68		25.7	114.67	53.46	46.65		0.41	800.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	1042	"Wheat"	"Footslope"	1.0	47	0	0	1	6	3.1	60.0	1.0	0.25	0.0625	1.0	0.0	0.0	1.0	0.0	1.0	0	1	0	1	84.0	34.0	7056.0	2856.0	84.0	0.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			40.2		39.2	114.67	53.46	46.65		0.41	1600.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	1001	"Wheat"	"Midslope"	1.0	57	8	0	1	5	2.8	60.0	1.0	0.5	0.25	1.0	0.0	0.0	1.0	1.0	1.0	1	1	0	1	84.2	13.6	7089.6396	1145.12	0.0	84.2	0.0	22.9	11040	15.2	13.4	205	6.47	32.6	28.7	38.1	808.5304	1.5606483	6.695218			46.2		48.0	114.67	53.46	46.65		0.41	2200.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	805	"Wheat"	"Footslope"	1.0	37	8	0	1	3	1.8	60.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1	1	0	1	32.5	8.5	1056.25	276.25	32.5	0.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			48.6		49.2	114.67	53.46	46.65		0.41	1500.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	738	"Wheat"	"Footslope"	1.0	45	0	0	1	3	1.8	60.0	1.0	0.25	0.0625	1.0	0.0	0.0	0.0	0.0	1.0	1	1	0	1	65.0	17.0	4225.0	1105.0	65.0	0.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			16.0		24.95	114.67	53.46	46.65		0.41	20.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	756	"Wheat"	"Footslope"	1.0	75	0	2	1	6	3.3	60.0	1.0	0.125	0.015625	1.0	0.0	1.0	1.0	0.0	1.0	1	1	0	0	229.6	40.8	52716.164	9367.68	229.6	0.0	0.0	22.9	11040	15.2	13.4	205	6.47	32.6	28.7	38.1	808.5304	1.5606483	6.695218			39.2		40.2	114.67	53.46	46.65		0.41	2000.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	756	"Wheat"	"Midslope"	1.0	75	0	2	1	6	3.3	60.0	1.0	0.25	0.0625	1.0	0.0	1.0	1.0	0.0	1.0	1	1	0	1	70.4	13.6	4956.16	957.44006	0.0	70.4	0.0	22.9	11040	15.2	13.4	205	6.47	32.6	28.7	38.1	808.5304	1.5606483	6.695218			39.2		40.2	114.67	53.46	46.65		0.41	1000.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	805	"Wheat"	"Footslope"	1.0	37	8	0	1	3	1.8	60.0	0.0	0.5	0.25	0.0	0.0	0.0	1.0	0.0	1.0	1	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218						114.67	53.46	46.65		0.41	1800.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	741	"Wheat"	"Hillslope"	1.0	28	9	0	0	4	2.1	60.0	0.0	0.5	0.25	1.0	0.0	1.0	0.0	0.0	1.0	1	1	0	1	101.5	8.5	10302.25	862.75	0.0	0.0	101.5	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			25.68		25.7	114.67	53.46	46.65		0.41	12.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	1016	"Wheat"	"Midslope"	1.0	58	0	0	0	7	4.0	60.0	1.0	0.25	0.0625	1.0	0.0	0.0	1.0	1.0	0.0	1	1	0	1	102.4	34.0	10485.761	3481.6	0.0	102.4	0.0	22.4	11043	15.1	13.5	211	6.42	32.7	28.72	37.4	833.0175	1.5665497	6.7250547			48.8		75.0	114.67	53.46	46.65		0.41	3200.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	805	"Wheat"	"Midslope"	1.0	37	8	0	1	3	1.8	60.0	1.0	0.25	0.0625	1.0	1.0	0.0	0.0	0.0	1.0	1	1	0	1	65.0	17.0	4225.0	1105.0	0.0	65.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			48.6		49.2	114.67	53.46	46.65		0.41	2400.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	1042	"Wheat"	"Footslope"	1.0	47	0	0	1	6	3.1	60.0	1.0	0.25	0.0625	1.0	0.0	0.0	1.0	0.0	1.0	1	1	0	1	130.0	34.0	16900.0	4420.0	130.0	0.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			40.2		39.2	114.67	53.46	46.65		0.41	400.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	1042	"Wheat"	"Midslope"	1.0	47	0	0	1	6	3.1	60.0	1.0	0.125	0.015625	1.0	0.0	0.0	1.0	0.0	1.0	1	1	0	1	222.0	34.0	49284.0	7548.0	0.0	222.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			40.2		39.2	114.67	53.46	46.65		0.41	800.0
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	970	"Wheat"	"Midslope"	0.0	51	4	0	1	5	2.8	60.0	1.0	0.37	0.1369	1.0	0.0	1.0	1.0	0.0	1.0	1	1	0	1	57.432434	6.891892	3298.4844	395.8181	0.0	57.432434	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			34.666668		40.0	114.67	53.46	46.65		0.41	810.8108
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	970	"Wheat"	"Footslope"	0.0	51	4	0	1	5	2.8	60.0	1.0	0.67	0.4489	1.0	0.0	1.0	1.0	0.0	1.0	1	1	0	1	69.10448	12.686567	4775.4287	876.6986	69.10448	0.0	0.0	22.0	10942	15.2	14.1	203	6.43	32.2	28.79	38.3	808.5304	1.5606483	6.695218			70.0		40.0	114.67	53.46	46.65		0.41	895.5224
"Amhara"	"North_Shewa"	"Basona_Werana"	"Abamote"	1	908	"Wheat"	"Midslope"	1.0	42	3	0	1	5	2.6	60.0	0.0	0.5	0.25	1.0	0.0	0.0	1.0	0.0	0.0	1	1	0	1	111.0	17.0	12321.0	1887.0	0.0	111.0	0.0	22.9	11040	15.2	13.4	205	6.47	32.6	28.7	38.1	808.5304	1.5606483	6.695218			37.2		44.0	114.67	53.46	46.65		0.41	1000.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	98	"Teff"	"Midslope"	1.0	50	2	41	1	7	3.2	20.0	1.0	0.125	0.015625	1.0	0.0	0.0	0.0	0.0	0.0	1	1	0	1	130.0	34.0	16900.0	4420.0	0.0	130.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			34.0		34.0	122.76	54.66	47.98	0.45		400.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	86	"Wheat"	"Midslope"	1.0	20	8	8	1	8	4.1	20.0	1.0	0.5	0.25	1.0	0.0	0.0	1.0	0.0	0.0	1	1	0	1	32.5	8.5	1056.25	276.25	0.0	32.5	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			36.8		36.8	122.76	54.66	47.98		0.39	12.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	93	"Wheat"	"Midslope"	1.0	45	4	28	1	5	3.0	20.0	1.0	0.5	0.25	1.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0	65.0	17.0	4225.0	1105.0	0.0	65.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			40.0		40.0	122.76	54.66	47.98		0.39	1200.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	108	"Teff"	"Midslope"	1.0	45	8	25	1	6	3.1	20.0	1.0	0.5	0.25	1.0	0.0	0.0	0.0	0.0	0.0	1	1	0	1	65.0	17.0	4225.0	1105.0	0.0	65.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			37.8		37.8	122.76	54.66	47.98	0.45		6.0
