variable,mean_treated,mean_control,difference,t_stat,p_value,smd
respondent_age,51.471,52.342,-0.8709,-0.7411,0.4588,-0.053
female,0.597,0.601,-0.0041,-0.1157,0.9079,-0.0083
white,0.7839,0.8109,-0.027,-0.9387,0.3482,-0.067
black,0.1281,0.0984,0.0297,1.3124,0.1898,0.0937
education,-11.0353,4.6269,-15.6622,-1.4156,0.1577,-0.1005
stronger_republican_8pt,4.2663,4.5881,-0.3218,-1.5823,0.114,-0.113
hawkish_aggregate,3.1106,3.1269,-0.0164,-0.2516,0.8014,-0.018
hostile_sexism_agg,2.3216,2.4085,-0.0869,-1.1342,0.2571,-0.081
benevolent_sexism_agg,3.1382,3.2055,-0.0673,-0.9921,0.3215,-0.0708
cosmopolitan,3.4497,3.4741,-0.0243,-0.2695,0.7876,-0.0193
knowledge_ir_agg,1.2354,1.2578,-0.0224,-0.4138,0.6792,-0.0296
pro_israel_score,13.701,14.4585,-0.7575,-0.2371,0.8127,-0.0169
hhi,9.6171,9.772,-0.1549,-0.3171,0.7512,-0.0227
over_65,0.206,0.2694,-0.0634,-2.0865,0.0373,-0.1492
