variable,n,mean,sd,min,p25,median,p75,max
ICC_referral,760,3.932894736842105,1.0238124207895898,1.0,3.0,4.0,5.0,5.0
ICC_referral_binary,760,0.6789473684210526,0.46718843111141317,0.0,0.0,1.0,1.0,1.0
pro_israel_score,784,14.073979591836734,44.633854666101016,-100.0,-1.0,1.0,43.0,100.0
respondent_age,783,51.900383141762454,16.410348159232775,18.0,38.0,53.0,65.0,91.0
female,783,0.598978288633461,0.4904186616783533,0.0,0.0,1.0,1.0,1.0
white,784,0.7971938775510204,0.402345972576204,0.0,1.0,1.0,1.0,1.0
black,784,0.11352040816326531,0.31743038309882193,0.0,0.0,0.0,0.0,1.0
education,783,-3.314176245210728,157.07055573558014,-3105.0,3.0,5.0,6.0,8.0
stronger_republican_8pt,784,4.424744897959184,2.8485751740692877,1.0,1.0,4.0,7.0,8.0
hawkish_aggregate,784,3.118622451403061,0.9109423512171253,1.0,2.3333333,3.0,3.6666667,5.0
hostile_sexism_agg,784,2.3643707497448982,1.071728818819531,1.0,1.3333334,2.3333333,3.0,5.0
benevolent_sexism_agg,784,3.171343537882653,0.9511888838989402,1.0,2.58333335,3.3333333,4.0,5.0
cosmopolitan,784,3.461734693877551,1.263927286259225,1.0,3.0,4.0,5.0,5.0
knowledge_ir_agg,779,1.2464698331193838,0.7543173014802458,0.0,1.0,1.0,2.0,2.0
