test,variable,coef,se,pvalue,note
placebo_age,voucher,-0.06416202844773349,0.20190699520630379,0.7506517342774978,PASS (not significant)
placebo_age,training,-0.1609717868338316,0.1812452341604729,0.37446353580051595,PASS (not significant)
placebo_age,voucher_x_training,-0.018596592241917592,0.27648168385791005,0.9463734699571782,PASS (not significant)
permutation_falsification,voucher->mid_x,0.38570960309691926,,0.0,PASS (true effect is extreme)
lee_bounds_midline,mid_salary,16.427107224770637,,,"Lee bounds: [-12.19, +45.04]"
lee_bounds_endline,end_salary,10.09622651143792,,,"Lee bounds: [+1.26, +18.94]"
logit,mid_x_voucher,1.8270837268400628,0.17690898423806456,5.2746978578616605e-25,OR=6.216
logit,mid_x_training,0.19969353356282601,0.19833717114451618,0.3140123083553167,OR=1.221
logit,mid_x_voucher_x_training,-0.16549082242093213,0.2613146385209018,0.5265370990722179,OR=0.847
logit,end_x_voucher,0.19374395441665845,0.18013659582717925,0.2821334308013901,OR=1.214
logit,end_x_training,0.0866808531062706,0.18486687196176133,0.6391535792536456,OR=1.091
logit,end_x_voucher_x_training,-0.19374395441665862,0.268827449642129,0.4710940861877746,OR=0.824
logit,end_lfp_voucher,0.3945399739303712,0.1530040311814905,0.009919449040481216,OR=1.484
logit,end_lfp_training,0.20723087562537737,0.15363565431564852,0.17738635686562332,OR=1.230
logit,end_lfp_voucher_x_training,-0.210425766521896,0.22754545999403097,0.35508887078017737,OR=0.810
logit,mid_lfp_voucher,0.16598645890502722,0.18925306765965022,0.38045358059098366,OR=1.181
logit,mid_lfp_training,0.00398490460203056,0.18744939850319153,0.9830393993421165,OR=1.004
logit,mid_lfp_voucher_x_training,0.3685284698534198,0.29209127652789785,0.20706056963464348,OR=1.446
sensitivity_no_controls,voucher->mid_x,0.3960025038688261,0.03490025800808887,7.702117956472667e-30,controls: no_controls
sensitivity_age_only,voucher->mid_x,0.39933179681722925,0.03519445544153426,7.724356266435196e-30,controls: age_only
sensitivity_age_edu,voucher->mid_x,0.4010104515749248,0.03515460174989632,3.855661494889527e-30,controls: age_edu
sensitivity_full,voucher->mid_x,0.4008882652532817,0.035170807066306396,4.262442521737022e-30,controls: full
time_dynamics_employment,voucher_fade,0.36179138344052186,0.04741389290772203,2.3314683517128287e-14,"mid=+0.3960, end=+0.0342"
time_dynamics_salary,voucher_fade,57.08323983083821,8.56593517126977,2.6650459616917033e-11,"mid=+64.7960, end=+7.7128"
time_dynamics_labor_force_participation,voucher_fade,-0.07003792432617544,0.04924767633905001,0.15498069813403226,"mid=+0.0280, end=+0.0980"
