W2_WeightSocDemTurnAttrition	region	age	gender	W1_news_socmed	W1_news_important	W1_news_notime	W1_news_toomuch	W1_news_switchaway	W1_news_notinteresting	W2_news_socmed	W2_news_important	W2_news_notime	W2_news_toomuch	W2_news_switchaway	W2_news_notinteresting	congruence	congruence_EU	avoidance	education	interest	knowledge	internal_efficacy	external_efficacy	avoidance_alt	sample
	1.0	50	1	1	2	2	5	3	2	3	2	2	4	2	2			2.5	1	3.0	1.0	1.0	1.0	0.02283138	
	1.0	65	1	5	1	5	3	3	1	5	3	3	4	3	3			3.0	1	2.0	2.0	1.0	1.0	0.3253879	
	1.0	66	1	1	1	1	1	3	1									1.3333334	1	9.0	3.0	2.5	2.5	-1.2375082	
	1.0	61	1	4	4	2	3	3	2									3.0	1	2.0	2.0	1.0	1.0	0.4778635	
	2.0	79	0	4	2	1	4	2	4									2.8333333	2	8.0	1.0	3.5	2.5	0.48197132	
	1.0	73	0	3	2	4	4	2	3	2	3	4	4	2	3	2.1680865	2.1680865	3.0	1	3.0	1.0	1.5	1.0	0.54308873	1.0
1.2983234	1.0	65	1	3	2	3	3	3	3	3	3	3	3	2	4			2.8333333	1	0.0	2.0	1.0	1.5	0.3919552	
	1.0	53	1	2	3	2	3	2	2	2	4	4	3	3	4	2.828815	2.828815	2.3333333	0	4.0	0.0	3.0	3.0	-0.16913429	1.0
	1.0	39	1	4	1	5	5	3	1									3.1666667	2	4.0	2.0	3.5	2.5	0.5150164	
	1.0	51	1	1	3	4	3	2	2	2	3	3	3	2	2	0.6657629	0.6657629	2.5	2	6.0	3.0	2.0	3.0	-0.009878979	1.0
0.51747954	1.0	84	0	1	2	1	1	4	2	4	2	1	2	2	2			1.8333334	2	7.0	3.0	1.5	1.0	-0.63876426	
	1.0	69	1	3	2	2	3	2	2									2.3333333	1	3.0	0.0	3.0	3.0	-0.19010545	
	1.0	64	1	4	2	3	4	3	3	1	2	2	4	2	2	0.21882248	0.21882248	3.1666667	1	3.0	1.0	2.0	4.0	0.7127888	1.0
1.621032	1.0	64	0	1	1	2	3	2	1	2	1	2	2	2	1	0.3342371	0.3342371	1.6666666	1	8.0	3.0	2.5	3.0	-0.9162206	1.0
0.7244441	1.0	77	0	4	3	3	4	3	3	4	3	2	3	2	3	0.8319135	0.8319135	3.3333333	1	0.0	3.0	3.0	1.0	0.8844395	1.0
0.7010625	1.0	56	0	2	1	1	2	4	3	4	2	5	4	4	4	4.334237	0.16808653	2.1666667	2	6.0	2.0	4.0	4.0	-0.23647611	1.0
4.2220936	1.0	32	1	1	1	2	5	1	1	1	2	1	1	1	1	2.334237	2.334237	1.8333334	1	8.0	1.0	5.0	4.0	-0.74990046	1.0
0.09152574	2.0	70	1	2	4	3	4	2	3	1	3	2	3	3	3	0.16808653	0.16808653	3.0	2	5.0	2.0	1.5	2.5	0.5807432	1.0
	1.0	48	1	2	1	2	4	1	2	2	2	2	2	2	2	0.6657629	0.6657629	2.0	2	5.0	3.0	4.0	4.0	-0.5162696	1.0
0.05654742	2.0	80	0	4	2	4	4	4	2	4	1	3	4	1	1		1.1680865	3.3333333	2	3.0	1.0	2.0	3.0	0.78863883	
2.3064203	1.0	38	1	3	4	3	4	3	2	4	4	2	2	3	3			3.1666667	1	3.0	2.0	3.0	3.0	0.65230536	
3.0344026	1.0	20	1	2	4	4	2	2	3	4	2	4	4	4	2	0.16808653	0.16808653	2.8333333	1	7.0	2.0	5.0	1.5	0.39540258	1.0
	1.0	79	1	4	1	2	4	3	4	2	1	3	4	2	4	3.2188225	3.2188225	3.0	0	7.0	1.0	2.5	2.5	0.6392759	1.0
0.8358535	1.0	53	1	1	5		5	3	5	1	3	3	3	2	4	2.1680865	2.1680865		2	1.0	1.0	2.0	2.0		
1.0505618	1.0	42	1	1	2	3	4	3	4	1	2	4	4	3	3	0.16808653	0.16808653	2.8333333	2	1.0	1.0	2.5	2.0	0.5138554	1.0
	1.0	55	1	3	3	3	5	3	4									3.5	2	8.0	2.0		3.0	1.1570193	
1.9693443	1.0	45	1	2	3	1	4	3	2	5	3	5	5	4	4	0.16808653	0.16808653	2.5	1	6.0	3.0	2.0	2.0	0.020040208	1.0
	1.0	65	1	4	3	3	5	2	3	3	2	5	5	4	3	1.1680865	1.1680865	3.3333333	1	5.0	4.0	1.0	1.0	0.88060564	1.0
	2.0	33	1	2	5	5	1	5	5									3.8333333	2	0.0	1.0	1.0	1.0	1.580041	
