ResponseId;conseq;wtp_1;wtp_2;wtp_explain_diff;wtp_explain_same;wtp_explain_pos;code_conseq;comment;coder
R_2ASkhcpcAKpPDh3;chicken;8;0;For scenario 2, why would I give up more of my hard earned money for no reason? Plus, if the extra money isn't going into animal welfare, where is it going? It's just not right.;;;conseq;;CB
R_2v7ALpQ6ErcRaMq;chicken;25;0;I would pay more for the first because it makes a difference, the second does not;;;conseq;;CB
R_2Pv9BtknPaptRcK;chicken;0;0;;;;;;CB
R_3O1d5xw8BO7n2v6;chicken;5;2;"(Please note that the numbers above I am calculating in dollars per lb)

In the first scenario there is the feeling that I am helping for a greater cause, and this allows me to justify a higher premium for my actions as it contributes to a global good.";;I personally would like to do what is best for the chickens even though it does not contribute to the betterment of the chickens as a whole. With this even though I would not justify as much of a cost I still am willing to pay more.;conseq, deont;;CB
R_3Ppf2qoz6cSfiIO;chicken;20;20;;i'm not really thinking of the global impact.  regardless of the global impact, i've made 20 chickens happier;because there's still 20 chickens leading a better life.;deont;;CB
R_3JrQOxUfIV3LmPH;chicken;0;0;;;;;;CB
R_2cqIhb9W9quuGm1;chicken;0;0;;;;;;CB
R_2xW9XTD2l9oDC3q;chicken;2;0;because my paying extra in situation 2 would not make a difference so i would not pay extra;;;conseq;;CB
R_Q6MupnCG4iZk5Lr;chicken;5;0;If their welfare isn't going to change no matter what I spend, it would not make sense to spend any money on the problem;;;conseq;;CB
R_277GYU5BMJF4Gf0;chicken;100;20;If my actions do not have much of a benefit I will save my money for other things;;I would want to provide some support for the chickens raised in better conditions;conseq, conseqstill;;CB
R_3dHfANLPDxPllGE;chicken;5;0;I would not pay extra when the number of chickens being taken better care of does not change.;;;conseq;;CB
R_DcSEDZMbZDHUMsF;chicken;5;2;Even if I had to pay an additional $5 I would definitely do so for better and welfare and if I were to eat any of these chickens I would feel better about how they were treated which would be more of an ethical and better life growing up before they were processed and eaten.;;Though there wasn't any impact according to the information I read I still think that animal welfare and ethical production of chicken is something that is very honorable and important in today's world.;deont: principle;;CB
R_SAZBQLc2m7nZ3Gx;chicken;3;3;;That's how much I think would be reasonable to increase the price overall.;I belive that the chickens would be healthier and better for me to eat regardless if the impact would be zero.;other;;CB
R_2EFOxI8eDqN5rNP;chicken;4;0;If it isn't going to help the chickens then I would be unwilling to pay more for them.;;;conseq;;CB
R_3dEcXi0qFk7EkMt;chicken;100;100;;I would want the animals to be taken care of better - I would know that I am contributing to that.;I would want to personally know that I was making a difference.;deont: ownpart;;CB
R_1245Ak64JuInJtm;chicken;20;20;;I would still be affecting the same total number of chickens.;This would still make conditions better for 20 chickens.;conseq;;CB
R_3jccuMdPRs8fc3T;chicken;10;5;I would feel like I'm making more of an impact in scenario 1, so I would be willing to pay more. In scenario 2, I would still be willing to pay some amount even if it helps to maintain just the same level if it means these chickens will have a better life.;;I feel that it would help to a least maintain the status quo for some chickens getting a better life and some is better than none.;conseq, conseqstill;;CB
R_1dyrhY6HHd7Ojov;chicken;2;0;My thought is: why would I pay additional money if I know that my additional contribution wouldn't have any consequence?;;;conseq;;CB
R_3MyyzmAcah8EcFL;chicken;5;5;;I am all for the humane treatment of animals. For the paying of animal welfare-certified chickens in either case is an affordability issue for me. It's like a donation for a cause, and that's what I would be willing to pay in either case, because that's the amount I could afford.;Because, if I understand it correctly, the better welfare of the chickens would still be there, regardless of how many chickens would benefit.;deont: principle, conseqstill;;CB
R_71AgUjtuVqKFgf7;chicken;2;2;;The additional cost of $2 would be beneficial for me irrespective of which scenario I chose because it would benefit the chicken as well as benefit me.;I would benefit from eating what I would assume are healthier chickens;other;;CB
R_DbZVMUPuW9shkU9;chicken;100;100;;The same 20 chickens will still live a better life.;If I can only save 20 chickens from a horrible life then so be it. Those 20 chickens would represent an idea to the other chickens and maybe they would unionize and help their brother chickens living in horrible cramped conditions.;conseqstill;;CB
R_3DjRiUxyLuuK1Pe;chicken;25;25;;Wow, this is honestly really tough to answer. I feel very bad for these animals and the way they are treated, and I still want to ensure at least some of them get treated better. I wish there were a way that laws would change things and check places, as most animals are perhaps only given a bit of fresh air and no space, and companies lie in how they're treated. I also would feel terrible not donating to helping these animals, but it worries me in that more people would be buying the ones that have been terribly abused.;I know it would still help out some of the chickens, and it feels more of a moral thing. I would want to try to see if some people might try to purchase the more expensive chickens and perhaps also get them to consider some plant based foods.;conseqstill, deont: principle;;CB
R_3QGE1JCs4JPOQ7F;chicken;20;0;If I am paying more for animal welfare certified chickens then I want to see more chickens welfares being upgraded.  If I am only increasing demand and therefore not increasing the number of animal welfare certified chickens then I don't want to pay extra.;;;conseq;;CB
R_2AKLkS027Lj6W2k;chicken;15;0;"in the first scenario, my action has a direct impact, in the second it doesn't
";;;conseq;;CB
R_2A1mRE48w2ft7PP;chicken;0;0;;;;;;CB
R_2DV8VHTYbtQrOHH;chicken;100;0;In situation one I get better and healthier chickens to consumes whereas in situation two the conditions of the chickens do not change;;;conseq;borderline other because the response is not driven from morality;CB
R_2xSqKeScINdMA9o;chicken;50;0;If it does not change then why would I pay for it?;;;conseq;;CB
R_2TvN0BlXVGJ26gw;chicken;3;0;I do not want to be part of driving up the cost for everyone concerned.;;;other;;CB
R_yPF0LdRPYwbbIkx;chicken;2,5;2,5;;Mostly for my own conscience.  Bottom line though would be on the taste of the chicken more than anything else.  I am willing to pay extra for a more humanely raised and slaughtered chicken than a poor one for other reasons as well.  However, there would have to be other positive reasons to choosing the humane raised chicken without causing other damage or suffering elsewhere.;Most likely less chance of disease, better tasting chicken, and just generally the right thing to do.;other;borderline deont: feelgood but I'm being conservative;CB
R_21mnDV3w8CzgZjk;chicken;200;100;I would still pay some extra no matter what and hope that it would help;;It would still help in the long run with extra funds;conseqstill;;CB
R_1mq00DJ2MCgv19g;chicken;5;0;If me paying some extra money can help improve the quality of life for some chickens, I'm willing to do it, as long as it's not a lot of money and I can afford it, since stopping chickens from suffering is the morally correct thing to do. But, there is zero reason why I would want to pay more money if it does not help any chickens at all. That would just be throwing money away at some large meat manufacturer who is probably making millions if not billions of dollars a year.;;;conseq;;CB
R_3NIEGnkR9daZOGp;chicken;20;0;If the animals don't benefit then why should I pay more?;;;conseq;;CB
R_27HgSJhWHfSynrh;chicken;35;0;It seems to me that if I pay more to support improved welfare would benefit chickens, however, in situation 2, the number of chickens who receive better welfare won't change.;;;conseq;;CB
R_248xeRl1NvQneky;chicken;2;0;I'd be willing to pay more for chicken if it helps because chicken is usually a very affordable meat anyhow. I currently don't eat chicken at all because I don't think it's healthy due to the way it's raised. If my purchase doesn't improve things, I won't pay any more for it - I'll just continue to not buy it at all.;;;conseq;;CB
R_12R8PZcEJlXEAdL;chicken;30;20;I'd pay less if the overall number of chickens raised remained the same because the whole idea is to improve animal welfare.;;"See above; one outcome improves animal welfare, the other doesn't.";conseq;;CB
R_3eqPKxfHoMmr7wp;chicken;3;3;;I would pay extra to support better living conditions for chickens despite the fact that the overall situation will not change.;The situation may not change for all chickens, but maybe 20 chickens will live in better conditions. I'd rather take that chance than do nothing at all.;deont;;CB
R_tDTCf9dB4OGYLUR;chicken;5;5;;It isn't within my control, so I'm still doing what I can to help the chickens without know if others would fill the void of my demand for the poor condition chicken.  It could still help the chickens so I am willing to pay the same for the chickens.;It is really the same rationale as my answer on why I gave the same number in both situations.  I know it says the total impact would be zero, but maybe that is temporary, maybe the poor condition chickens have less demand and the price drops making it difficult to be profitable with poor conditions.  This could lead to those companies choose to transition to the better conditions with higher prices.  This increased supply then normalizes the prices of well taken care of chickens to a range that enables more demand and all chickens are taken care of.  I know I'm taking this to the extreme, but you ask my thought process.  Maybe it will help.;deont: ownpart, conseqstill;;CB
R_1HqvoIxkNEjatZf;chicken;0;0;;;;;;CB
R_3stZaSIDXbhlu1N;chicken;2;3;I feel bad for the animals that are in these situations.  they are still being raised in terrible conditions and maybe by making chicken more expensive, less people would be able to afford it.;;Because there are still animals that need help.  They need to increase the costs and pass it to the consumer.;other;;CB
R_3MR0ZcONkGuQJmY;chicken;0;0;;;;;;CB
R_3FXz8K1ByjtiQ9E;chicken;40;40;;In the first situation, more chickens will experience better lives. In the second situation, even though the number of chickens does not increase, perhaps the increased demand will encourage more chicken farmers to make the switch and actually result in permanent change to the living conditions for chickens.;Hopefully the increased demand will encourage more farmers to adopt more humane practices in their chicken raising in the future.;conseqstill;;CB
R_R8eu1R4LszOFp8R;chicken;5;5;;I would pay more but I don't have more to offer. I can barely afford protein as it is right now especially since I'm allergic to nuts. I would love to eat only welfare certified products. It isn't an affordable option.;I think the improved conditions for animals is worth paying more for too. I consider that to be a worthy cause & would support it if I could afford that cost.;other;;CB
R_12RB4fEih1x0xK4;chicken;20;0;If in the end, the result doesn't change anything I'm not going to pay for it. I don't mind paying extra, but only if it matters.;;;conseq;;CB
R_3p3WgFN5SGIfZ0P;chicken;20;20;;It seems like a fair price, and I knew nothing was going to change, as I took those chickens off of the market.;If I stopped paying money, no one would want to raise chickens under improved welfare standards.;other;;CB
R_1jBNMMWuiGG8Ntw;chicken;1;0;i would be willing to pay more if i knew that my actions would actually make a difference;;;conseq;;CB
R_3lWhIeveBmQKp9b;chicken;2;0;I will pay a little more for smaller batch of product produced rather than pay the same amount for the entire amount without clearly knowing where the money actually goes.;;;other;;CB
R_1TwshtGsZFhHcHf;chicken;10;10;;I would still be willing to pay $10 more for animal welfare certified chickens.;I think that more people should try to get animal welfare certified chickens.;other;;CB
