source,group,year,pval,rank,bh_threshold,bh_significant
het_lima.csv,Lima=1,2024,0.0005645230850869,1,0.0017857142857142857,True
het_female.csv,Gender=1,2021,0.0539363560077324,2,0.0035714285714285713,False
het_age.csv,prime_30_44,2022,0.0571257774319804,3,0.005357142857142857,False
het_age.csv,prime_30_44,2023,0.0576419231312414,4,0.007142857142857143,False
het_age.csv,prime_30_44,2021,0.0610176823848072,5,0.00892857142857143,False
het_female.csv,Gender=1,2023,0.0610545386414043,6,0.010714285714285714,False
het_age.csv,prime_30_44,2024,0.0736480263492641,7,0.0125,False
het_female.csv,Gender=1,2022,0.0815648377947541,8,0.014285714285714285,False
het_age.csv,senior_45_65,2021,0.0968459652830772,9,0.016071428571428573,False
het_lima.csv,Lima=0,2023,0.0978261016652974,10,0.01785714285714286,False
het_lima.csv,Lima=0,2021,0.098938841211493,11,0.019642857142857142,False
het_lima.csv,Lima=0,2022,0.1039513557556809,12,0.02142857142857143,False
het_age.csv,youth_15_29,2021,0.1097743055186638,13,0.023214285714285715,False
het_female.csv,Gender=1,2024,0.1136140662097316,14,0.025,False
het_age.csv,senior_45_65,2023,0.115024954038031,15,0.026785714285714288,False
het_age.csv,senior_45_65,2022,0.1235912016088943,16,0.02857142857142857,False
het_age.csv,youth_15_29,2022,0.1341256921506181,17,0.030357142857142857,False
het_age.csv,senior_45_65,2024,0.1654784481115165,18,0.03214285714285715,False
het_age.csv,youth_15_29,2023,0.1681516811015502,19,0.03392857142857143,False
het_lima.csv,Lima=0,2024,0.1747477795918561,20,0.03571428571428572,False
het_female.csv,Gender=0,2022,0.1774244402136882,21,0.037500000000000006,False
het_female.csv,Gender=0,2021,0.2177146869717673,22,0.039285714285714285,False
het_female.csv,Gender=0,2024,0.2234717759767939,23,0.04107142857142857,False
het_lima.csv,Lima=1,2023,0.2240842407055279,24,0.04285714285714286,False
het_lima.csv,Lima=1,2021,0.2316274808639735,25,0.04464285714285715,False
het_lima.csv,Lima=1,2022,0.2360866255501925,26,0.04642857142857143,False
het_female.csv,Gender=0,2023,0.2744566021879663,27,0.048214285714285716,False
het_age.csv,youth_15_29,2024,0.2829795738743237,28,0.05,False
