group,year,coef,se,pval
Firm size=0,2020,0.0,0.0,
Firm size=0,2021,0.1075164993158137,0.07651973197589669,0.15999689102282555
Firm size=0,2022,0.10097645517336645,0.07476721841593625,0.17684139149758193
Firm size=0,2023,0.10367974327218651,0.06916407301943601,0.1338631381955865
Firm size=0,2024,0.09597169170025618,0.06610996425840059,0.14658564277505629
Firm size=1,2020,0.0,0.0,
Firm size=1,2021,0.10522502322236613,0.04080288036026655,0.009912619797393447
Firm size=1,2022,0.12057690573386612,0.036165580653667206,0.0008559934082355469
Firm size=1,2023,0.13141184475934417,0.036000366237133645,0.0002619424726270548
Firm size=1,2024,0.11527693463495912,0.038750166716400185,0.002931071587233425
