label,outcome,n_obs,n_countries,n_quarters,r2_within,pretrend_f,pretrend_p,treatment_var
Main: hhi_norm,hhi_norm,3428,177,22.0,0.022584016908887894,,,
Main: entropy,entropy,3428,177,22.0,0.3403144593799736,,,
EPI continuous: hhi_norm,hhi_norm,2682,123,,-2.5353288940248437,,,epi_score
EPI continuous: entropy,entropy,2682,123,,-8.696218385122803,,,epi_score
EPI binary: hhi_norm,hhi_norm,2682,123,,-0.04903337644255834,,,epi_high
EPI binary: entropy,entropy,2682,123,,-0.31667544704532036,,,epi_high
EPI low: hhi_norm,hhi_norm,905,42,22.0,0.07630268558636899,,,
EPI low: entropy,entropy,905,42,22.0,0.518645683935895,,,
EPI medium: hhi_norm,hhi_norm,897,41,22.0,0.025439282971198907,,,
EPI medium: entropy,entropy,897,41,22.0,0.35286448665547954,,,
EPI high: hhi_norm,hhi_norm,880,40,22.0,0.09329220014625572,,,
EPI high: entropy,entropy,880,40,22.0,0.5248345852383863,,,
Composition: n_languages,n_languages,3428,177,22.0,0.5190898298637847,,,
