label,outcome,att,se,pval,ci_low,ci_high,n_obs,n_countries,r2_within
Baseline: hhi_norm,hhi_norm,-0.027092484754653635,0.007893113118843283,0.0006056926292128395,-0.04256298646758647,-0.011621983041720801,3428,177,0.011380289739779004
Baseline: entropy,entropy,0.2508619401740241,0.020468023575538546,0.0,0.21074461396596852,0.2909792663820796,3428,177,0.23244302623272972
Placebo Q1 2021: hhi_norm,hhi_norm,-0.03554436043389269,0.011034964379618225,0.0013051451977421635,-0.05717289061794441,-0.013915830249840968,1629,161,0.01991857440414624
Placebo Q1 2021: entropy,entropy,0.21180598117607002,0.017772496073964035,0.0,0.17697188887110052,0.24664007348103953,1629,161,0.2417865491619563
Placebo Q1 2022: hhi_norm,hhi_norm,-0.028253109361226637,0.009077745017463782,0.0018918815738777628,-0.04604548959545565,-0.010460729126997626,1629,161,0.010980809920360213
Placebo Q1 2022: entropy,entropy,0.1818259539772831,0.016811727206068414,0.0,0.148874968653389,0.2147769393011772,1629,161,0.1554721039132324
Placebo Q1 2024: hhi_norm,hhi_norm,-0.02287400445638112,0.006470650601279515,0.00041313770432638286,-0.03555647963488897,-0.01019152927787327,3586,177,0.006992690523637712
Placebo Q1 2024: entropy,entropy,0.21436071246591595,0.01797748269367093,0.0,0.17912484638632092,0.24959657854551098,3586,177,0.15165527074081553
Alt timing Q4 2022 (launch): hhi_norm,hhi_norm,-0.026826201213913305,0.00779377971499097,0.0005843775129663609,-0.0421020094552956,-0.011550392972531003,3586,177,0.010899038597098731
Alt timing Q4 2022 (launch): entropy,entropy,0.24515384715532457,0.019874807773690453,0.0,0.20619922391889128,0.28410847039175785,3586,177,0.2247783509244885
Alt timing Q1 2023 (mass adoption): hhi_norm,hhi_norm,-0.027243041835631154,0.007445764098341878,0.00025717106507516796,-0.041836739468381234,-0.012649344202881073,3586,177,0.011346057338624038
Alt timing Q1 2023 (mass adoption): entropy,entropy,0.23718494320268735,0.019313801432068577,0.0,0.19932989239583293,0.27503999400954177,3586,177,0.21238078961744367
Alt timing Q2 2023 (API/plugins): hhi_norm,hhi_norm,-0.02696980199827749,0.007195836298389255,0.0001812253693525001,-0.041073641143120426,-0.01286596285343455,3586,177,0.011038320896033404
Alt timing Q2 2023 (API/plugins): entropy,entropy,0.22768917480205172,0.01862001303567376,0.0,0.19119394925213115,0.26418440035197227,3586,177,0.19428509553760998
Country trends: hhi_norm,hhi_norm,0.002796678095206311,0.01121042024060984,0.8030120098954532,-0.019175745576388972,0.024769101766801596,3428,177,0.01539859988895953
Country trends: entropy,entropy,-0.027914880834547986,0.014875952359733829,0.06067477807899202,-0.05707174745962629,0.0012419857905303193,3428,177,0.3157191683986472
Balanced: hhi_norm,hhi_norm,0.000964667791620878,0.00269768944257271,0.7206757403447983,-0.004322803515821633,0.006252139099063389,3058,139,9.237563436226282e-05
Balanced: entropy,entropy,0.21301480244703033,0.018969780934124714,0.0,0.1758340318161459,0.2501955730779148,3058,139,0.2536156324795594
Winsorized: hhi_norm,hhi_norm_wins,-0.027088879200756817,0.007891826034508708,0.000605463613304158,-0.04255685822839388,-0.01162090017311975,3428,177,0.01137938013976958
Winsorized: entropy,entropy_wins,0.2503643498477803,0.020497519568760923,0.0,0.21018921149300887,0.2905394882025517,3428,177,0.2316076762917243
Min 3 langs: hhi_norm,hhi_norm,0.007262523307005739,0.0009598153126635191,5.0182080713057076e-14,0.005381285294185242,0.009143761319826237,3303,172,0.11387225980929838
Min 3 langs: entropy,entropy,0.20581858681479195,0.01652758894271196,0.0,0.17342451248707652,0.2382126611425074,3303,172,0.2657701177234528
Composition-adjusted: hhi_balanced_norm,hhi_balanced_norm,0.002025377241637876,0.0008773518742276764,0.021041970704574364,0.0003057675681516303,0.003744986915124122,2992,143,0.01594906290988607
Clean post Q1-2023: hhi_norm,hhi_norm,-0.03879186344088246,0.01233345656189743,0.001689474008290004,-0.06296543830220142,-0.014618288579563498,1788,163,0.007716701266543113
Clean post Q1-2023: entropy,entropy,0.2184858240806427,0.02109604980592181,0.0,0.17713756646103596,0.25983408170024946,1788,163,0.07922880209047767
EPI-matched only: hhi_norm,hhi_norm,-0.0038739397460721137,0.003909982419739166,0.3218858060619576,-0.01153750528876088,0.0037896257966166524,2682,123,0.0007846142508848297
All countries: hhi_norm,hhi_norm,-0.027092484754653635,0.007893113118843283,0.0006056926292128395,-0.04256298646758647,-0.011621983041720801,3428,177,0.011380289739779004
