variable,period,mean,std,min,p10,p50,p90,max,N
hhi_raw,Full sample,0.15134624076829128,0.15837322199870366,0.042117865133769125,0.057189598962900226,0.10093028207314854,0.3338673708999691,1.0,3586
hhi_norm,Full sample,0.07467950435079002,0.14481157467578262,0.0,0.02519413178478619,0.053139676409055134,0.08064926493932446,1.0,3586
entropy,Full sample,2.49490996821686,0.8314951544084128,-1.110223024625156e-15,1.0978179840958382,2.6948734238219334,3.4554758881213763,3.8396248943492237,3586
n_languages,Full sample,45.13469046291132,51.48701463759466,1.0,3.0,26.0,118.0,342.0,3586
total_pushers,Full sample,146253.93530395985,470615.6071119997,101.0,698.5,17499.0,308810.5,5580021.0,3586
hhi_raw,Pre-treatment,0.15875443653574536,0.1749801356378282,0.0425892995711904,0.05803694113250303,0.10143595627471831,0.335150398771595,1.0,1787
hhi_norm,Pre-treatment,0.08084001279823945,0.16640907989291584,0.00016866250632485702,0.027785493827160536,0.051932856682702706,0.07776106969228302,1.0,1787
entropy,Pre-treatment,2.4544583786702607,0.8509636540571441,-1.110223024625156e-15,1.0959114119076625,2.65457479291553,3.424726466339517,3.805980444470531,1787
n_languages,Pre-treatment,41.42697257974258,47.526872341665765,1.0,3.0,24.0,107.40000000000009,318.0,1787
total_pushers,Pre-treatment,122882.95299384443,384033.7013849449,101.0,666.0000000000001,14236.0,244893.80000000016,3525362.0,1787
hhi_raw,Post-treatment,0.14398746042563398,0.13960041963838568,0.042117865133769125,0.055678060584781024,0.10063103307647975,0.3336901224102667,1.0,1799
hhi_norm,Post-treatment,0.06856008878903785,0.1192901434194861,0.0,0.021095237912368753,0.05454733307612024,0.08352826018800363,1.0,1799
entropy,Post-treatment,2.5350917305958336,0.8099324599663944,-1.110223024625156e-15,1.0980736979771748,2.7121776044045616,3.5038335227020223,3.8396248943492237,1799
n_languages,Post-treatment,48.81767648693719,54.90577527913779,1.0,3.0,27.0,130.0,342.0,1799
total_pushers,Post-treatment,169469.02445803225,542239.2754306279,101.0,746.6000000000001,20468.0,359309.6000000001,5580021.0,1799
hhi_raw,Low EPI,0.15208971044685712,0.12065216504642327,0.04872992668655286,0.07596975331208344,0.10937640923525607,0.27761317573573296,1.0,1402
hhi_norm,Low EPI,0.0666206980820409,0.09935388231837583,0.00016866250632485702,0.025327753211504565,0.05899017810576965,0.08258603261111187,1.0,1402
entropy,Low EPI,2.3661738682062476,0.7028164421327098,-1.110223024625156e-15,1.3221451739987355,2.5778961661269757,3.102532804183565,3.6302808770775306,1402
n_languages,Low EPI,34.45506419400856,40.62431831345244,1.0,4.0,21.5,86.0,229.0,1402
total_pushers,Low EPI,118499.94293865906,384305.7114093429,101.0,838.2,10629.5,269261.30000000034,5580021.0,1402
hhi_raw,High EPI,0.08917517058449849,0.03528130707276469,0.042117865133769125,0.05304347300144248,0.08335423142164797,0.13252855851388842,0.3347165361338555,1403
hhi_norm,High EPI,0.05753036077629886,0.014824263194838486,0.002074804200783264,0.04085210876399138,0.0540359093844404,0.07819093141914052,0.1185718860833702,1403
entropy,High EPI,2.9250119129676153,0.4749006385690921,1.0965624135724141,2.2743591567903625,2.9245168161053874,3.5227698699418792,3.8396248943492237,1403
n_languages,High EPI,57.139700641482534,43.95204411231281,3.0,13.0,44.0,124.0,226.0,1403
total_pushers,High EPI,110054.96650035639,162093.42957097583,424.0,6131.0,49840.0,290856.39999999997,1031477.0,1403
