iso2_code,year,quarter,total_pushers,n_languages,quarter_id,log_pushers,banned_persistent,italy_temp_ban,country,treatment_type,post_chatgpt,treat_did
AD,2023,1,103,1,20231,4.6443908991413725,0,0,,none,1,0
AD,2023,2,211,2,20232,5.356586274672012,0,0,,none,1,0
AD,2023,4,108,1,20234,4.6913478822291435,0,0,,none,1,0
AD,2024,1,222,2,20241,5.407171771460119,0,0,,none,1,0
AD,2024,2,360,3,20242,5.8888779583328805,0,0,,none,1,0
AD,2024,3,116,1,20243,4.762173934797756,0,0,,none,1,0
AD,2024,4,366,3,20244,5.905361848054571,0,0,,none,1,0
AD,2025,1,436,3,20251,6.07993319509559,0,0,,none,1,0
AD,2025,2,782,5,20252,6.663132695990803,0,0,,none,1,0
AD,2025,3,621,4,20253,6.432940092739179,0,0,,none,1,0
AE,2020,1,11453,23,20201,9.346094292953802,0,0,,none,0,0
AE,2020,2,16135,23,20202,9.688808079634049,0,0,,none,0,0
AE,2020,3,16141,24,20203,9.689179849884317,0,0,,none,0,0
AE,2020,4,17174,25,20204,9.751210117090551,0,0,,none,0,0
AE,2021,1,17989,26,20211,9.79757132694458,0,0,,none,0,0
AE,2021,2,19723,26,20212,9.889591447344017,0,0,,none,0,0
AE,2021,3,19420,27,20213,9.874110233825451,0,0,,none,0,0
AE,2021,4,20087,29,20214,9.907877900837422,0,0,,none,0,0
AE,2022,1,23812,30,20221,10.077986929023943,0,0,,none,0,0
AE,2022,2,26679,32,20222,10.19166950002956,0,0,,none,0,0
AE,2022,3,27135,32,20223,10.20861653859163,0,0,,none,0,0
AE,2022,4,30623,37,20224,10.329539294252681,0,0,,none,1,0
AE,2023,1,33578,38,20231,10.421656150557377,0,0,,none,1,0
AE,2023,2,35920,41,20232,10.489077361672273,0,0,,none,1,0
AE,2023,3,35009,40,20233,10.463389013948712,0,0,,none,1,0
AE,2023,4,38359,44,20234,10.554770528997375,0,0,,none,1,0
AE,2024,1,41956,43,20241,10.644400563290736,0,0,,none,1,0
AE,2024,2,44994,46,20242,10.714306651468048,0,0,,none,1,0
AE,2024,3,45404,45,20243,10.723377510123928,0,0,,none,1,0
AE,2024,4,49781,48,20244,10.81540875189234,0,0,,none,1,0
AE,2025,1,55240,50,20251,10.919460710183415,0,0,,none,1,0
AE,2025,2,69740,53,20252,11.15254365910017,0,0,,none,1,0
AE,2025,3,74751,56,20253,11.221931246747845,0,0,,none,1,0
AF,2020,1,101,1,20201,4.624972813284271,0,0,,none,0,0
AF,2020,2,160,1,20202,5.081404364984463,0,0,,none,0,0
AF,2020,3,147,1,20203,4.997212273764115,0,0,,none,0,0
AF,2020,4,370,3,20204,5.916202062607435,0,0,,none,0,0
AF,2021,1,777,5,20211,6.656726524178391,0,0,,none,0,0
AF,2021,2,700,4,20212,6.55250788703459,0,0,,none,0,0
AF,2021,3,530,3,20213,6.274762021241939,0,0,,none,0,0
AF,2021,4,608,3,20214,6.411818267709897,0,0,,none,0,0
AF,2022,1,840,3,20221,6.734591659972948,0,0,,none,0,0
AF,2022,2,1305,4,20222,7.174724309836376,0,0,,none,0,0
AF,2022,3,1728,6,20223,7.455298485683291,0,0,,none,0,0
AF,2022,4,1774,6,20224,7.4815557019095165,0,0,,none,1,0
AF,2023,1,1769,5,20231,7.478734825567875,0,0,,none,1,0
AF,2023,2,2377,9,20232,7.774015077250727,0,0,,none,1,0
AF,2023,3,1744,4,20233,7.4645098346365275,0,0,,none,1,0
AF,2023,4,2026,5,20234,7.614312146452,0,0,,none,1,0
AF,2024,1,2413,6,20241,7.789040401657477,0,0,,none,1,0
AF,2024,2,2513,6,20242,7.829630389150193,0,0,,none,1,0
AF,2024,3,3082,8,20243,8.03365842788615,0,0,,none,1,0
AF,2024,4,3090,7,20244,8.036249942132116,0,0,,none,1,0
AF,2025,1,3015,6,20251,8.011686729127847,0,0,,none,1,0
AF,2025,2,4205,9,20252,8.344267356262645,0,0,,none,1,0
AF,2025,3,5460,11,20253,8.605387202152153,0,0,,none,1,0
AL,2020,1,3916,9,20201,8.27308133366583,0,0,,none,0,0
AL,2020,2,5308,13,20202,8.57715877258367,0,0,,none,0,0
AL,2020,3,3866,10,20203,8.260234291607297,0,0,,none,0,0
AL,2020,4,4653,11,20204,8.445482343862237,0,0,,none,0,0
AL,2021,1,6388,14,20211,8.762333040602343,0,0,,none,0,0
AL,2021,2,6844,14,20212,8.83127373772255,0,0,,none,0,0
AL,2021,3,5042,11,20213,8.525756422076725,0,0,,none,0,0
AL,2021,4,4741,11,20214,8.464214266625351,0,0,,none,0,0
AL,2022,1,6238,13,20221,8.738575192110787,0,0,,none,0,0
AL,2022,2,8689,14,20222,9.069928218259438,0,0,,none,0,0
AL,2022,3,6131,11,20223,8.721276239991704,0,0,,none,0,0
AL,2022,4,5935,11,20224,8.688790784847216,0,0,,none,1,0
AL,2023,1,5312,11,20231,8.577911926450943,0,0,,none,1,0
AL,2023,2,6609,14,20232,8.796338932845732,0,0,,none,1,0
AL,2023,3,5130,11,20233,8.543055850941965,0,0,,none,1,0
AL,2023,4,5598,11,20234,8.630343289348893,0,0,,none,1,0
AL,2024,1,6278,12,20241,8.744966011114109,0,0,,none,1,0
AL,2024,2,7149,12,20242,8.874867635688053,0,0,,none,1,0
AL,2024,3,5621,11,20243,8.634442751466477,0,0,,none,1,0
AL,2024,4,6210,12,20244,8.734077192559303,0,0,,none,1,0
AL,2025,1,8481,14,20251,9.045701550034536,0,0,,none,1,0
AL,2025,2,9964,15,20252,9.206834232646894,0,0,,none,1,0
AL,2025,3,7957,15,20253,8.981932990986873,0,0,,none,1,0
AM,2020,1,8324,18,20201,9.027018314848645,0,0,,none,0,0
AM,2020,2,10101,21,20202,9.220488703027998,0,0,,none,0,0
AM,2020,3,9280,18,20203,9.135724578595394,0,0,,none,0,0
AM,2020,4,7949,18,20204,8.980927207648378,0,0,,none,0,0
AM,2021,1,11367,21,20211,9.338557669776936,0,0,,none,0,0
AM,2021,2,12440,22,20212,9.42875274891449,0,0,,none,0,0
AM,2021,3,11829,21,20213,9.378393956972433,0,0,,none,0,0
AM,2021,4,11839,19,20214,9.379238908437996,0,0,,none,0,0
AM,2022,1,13941,20,20221,9.542661146046344,0,0,,none,0,0
AM,2022,2,20601,26,20222,9.933143437443638,0,0,,none,0,0
AM,2022,3,19437,25,20223,9.874985192063416,0,0,,none,0,0
AM,2022,4,25638,27,20224,10.151869908713964,0,0,,none,1,0
AM,2023,1,27101,32,20231,10.20736280488266,0,0,,none,1,0
AM,2023,2,26619,31,20232,10.189418091949102,0,0,,none,1,0
AM,2023,3,23930,30,20233,10.08292996857924,0,0,,none,1,0
AM,2023,4,23463,29,20234,10.063222610657286,0,0,,none,1,0
AM,2024,1,23162,30,20241,10.050311456976926,0,0,,none,1,0
AM,2024,2,23646,31,20242,10.070991535979658,0,0,,none,1,0
AM,2024,3,20821,29,20243,9.943765399034698,0,0,,none,1,0
AM,2024,4,21012,30,20244,9.952896572793671,0,0,,none,1,0
AM,2025,1,22030,29,20251,10.000205831412565,0,0,,none,1,0
AM,2025,2,23907,29,20252,10.081968409944144,0,0,,none,1,0
AM,2025,3,22946,30,20253,10.040942487989975,0,0,,none,1,0
AO,2020,1,536,3,20201,6.285998094508865,0,0,,none,0,0
AO,2020,2,1000,4,20202,6.90875477931522,0,0,,none,0,0
AO,2020,3,1146,4,20203,7.044905117129371,0,0,,none,0,0
AO,2020,4,1098,4,20204,7.002155954403621,0,0,,none,0,0
AO,2021,1,1462,6,20211,7.288244401020124,0,0,,none,0,0
AO,2021,2,2031,8,20212,7.616775808698373,0,0,,none,0,0
AO,2021,3,2080,8,20213,7.640603826393634,0,0,,none,0,0
AO,2021,4,2013,7,20214,7.607878073278507,0,0,,none,0,0
AO,2022,1,2706,8,20221,7.903596289614301,0,0,,none,0,0
AO,2022,2,2807,8,20222,7.940227765145702,0,0,,none,0,0
AO,2022,3,2760,7,20223,7.923348211930154,0,0,,none,0,0
AO,2022,4,3008,8,20224,8.009363076630045,0,0,,none,1,0
AO,2023,1,3465,9,20231,8.150756470275551,0,0,,none,1,0
AO,2023,2,3471,8,20232,8.15248607578024,0,0,,none,1,0
AO,2023,3,4044,9,20233,8.305236829492593,0,0,,none,1,0
AO,2023,4,4222,11,20234,8.348301054933943,0,0,,none,1,0
AO,2024,1,5083,13,20241,8.533853632309345,0,0,,none,1,0
AO,2024,2,5542,13,20242,8.620291149419804,0,0,,none,1,0
AO,2024,3,5634,13,20243,8.636752426473876,0,0,,none,1,0
AO,2024,4,5831,14,20244,8.671115273688494,0,0,,none,1,0
AO,2025,1,6776,14,20251,8.821289805136113,0,0,,none,1,0
AO,2025,2,8665,17,20252,9.067162602299854,0,0,,none,1,0
AO,2025,3,9143,14,20253,9.120853205474647,0,0,,none,1,0
AR,2020,1,71433,47,20201,11.176529225461161,0,0,,none,0,0
AR,2020,2,103955,57,20202,11.55172301167814,0,0,,none,0,0
AR,2020,3,120759,65,20203,11.701560383820775,0,0,,none,0,0
AR,2020,4,125285,66,20204,11.738354402798118,0,0,,none,0,0
AR,2021,1,112541,62,20211,11.631081764288396,0,0,,none,0,0
AR,2021,2,151309,74,20212,11.927085991445617,0,0,,none,0,0
AR,2021,3,167513,74,20213,12.028822208844023,0,0,,none,0,0
AR,2021,4,178436,73,20214,12.091990876726964,0,0,,none,0,0
AR,2022,1,180549,67,20221,12.103763026705604,0,0,,none,0,0
