quarter_id,coefficient,std_error,p_value,ci_lower,ci_upper,period
20201,-0.048025542958626974,0.4236466003029375,0.9097501084432009,-0.8783728795523844,0.7823217936351305,pre
20202,0.00674953695988899,0.3584869238110892,0.9849795552860341,-0.6958848337098459,0.7093839076296239,pre
20203,0.049628822748586286,0.30638936196386074,0.8713316526605681,-0.5508943267005808,0.6501519721977533,pre
20204,0.000646248547637607,0.290682744783528,0.9982262689617194,-0.5690919312280773,0.5703844283233526,pre
20211,0.02884998008228127,0.23410292608786254,0.9019273356031694,-0.42999175504992926,0.48769171521449184,pre
20212,0.022706131793711185,0.16942540500655834,0.8933959919355425,-0.3093676620191432,0.3547799256065655,pre
20213,0.11808830920708137,0.1372819055848202,0.38974645173561107,-0.15098422573916626,0.38716084415332896,pre
20214,0.056524369908709425,0.12028070404925137,0.6384303817350263,-0.17922581002782326,0.2922745498452421,pre
20221,-0.011264607314105855,0.08243521189185792,0.8913172037365282,-0.17283762262214739,0.15030840799393566,pre
20222,-0.01506075216276266,0.04514461206755169,0.7386936859335194,-0.10354419181516397,0.07342268748963865,pre
20224,-0.1629017002394926,0.061975007930597355,0.008615058405316178,-0.2843727157834634,-0.04143068469552179,post
20231,-0.2040086284144701,0.04777837713486826,2.0096942423109e-05,-0.29765424759881187,-0.1103630092301283,post
20232,-0.17984047162782968,0.047500351751524325,0.00015570875872783496,-0.27294116106081734,-0.086739782194842,post
20233,-0.20374993167244904,0.08665648459637393,0.01876849110126866,-0.373596641481342,-0.03390322186355613,post
20234,-0.22748504144302403,0.11380570114483121,0.0457005895664353,-0.4505442156868932,-0.004425867199154859,post
20241,-0.2868499780654966,0.12066044619559532,0.017493946853247344,-0.5233444526088634,-0.05035550352212978,post
20242,-0.31366020583547705,0.08834439534489573,0.0003898755384679209,-0.48681522071147265,-0.1405051909594814,post
20243,-0.34961387272395056,0.10001486444703685,0.00047907276010583644,-0.5456430070401428,-0.15358473840775835,post
20244,-0.4932754404172351,0.1082421509067076,5.369649328956783e-06,-0.7054300561943819,-0.28112082464008825,post
20251,-0.5554907644376968,0.11569850967670217,1.64597489016316e-06,-0.7822598434040331,-0.3287216854713606,post
20252,-0.6591301468097881,0.12783331144016505,2.666020497699151e-07,-0.9096834372325115,-0.4085768563870646,post
20253,-0.8017122577169135,0.14607080474864093,4.3532461413420265e-08,-1.0880110350242496,-0.5154134804095772,post
