iteration,permutation_coefficient
1,-0.348657
2,0.094096
3,-0.058223
4,-0.222695
5,0.473371
6,0.128504
7,-0.048008
8,-0.200337
9,-0.200902
10,-0.288519
11,-0.121988
12,-0.0574
13,-0.08144
14,-0.030057
15,-0.16015
16,0.056477
17,0.352623
18,0.097713
19,0.026693
20,-0.043062
21,0.252118
22,-0.094849
23,0.482532
24,-0.275652
25,-0.022634
26,-0.259532
27,0.0636
28,-0.318597
29,0.10352
30,0.140441
31,0.042186
32,0.090032
33,0.282237
34,0.06633
35,0.152951
36,-0.114543
37,-0.131639
38,0.223723
39,0.016949
40,0.274312
41,-0.169472
42,0.191027
43,-0.319065
44,0.201299
45,-0.197451
46,0.040926
47,-0.141471
48,0.03096
49,-0.153954
50,0.131478
51,0.100093
52,-0.100271
53,-0.132041
54,-0.107766
55,0.252895
56,-0.029204
57,-0.123441
58,0.035528
59,-0.094558
60,-0.201613
61,0.231489
62,0.120873
63,0.023604
64,-0.147575
65,-0.2966
66,0.005139
67,0.275841
68,-0.071566
69,0.482911
70,0.155304
71,0.374813
72,-0.16256
73,0.258313
74,-0.016008
75,-0.21162
76,-0.069152
77,-0.079379
78,-0.077447
79,0.046047
80,0.126575
81,0.188259
82,0.216671
83,-0.209297
84,-0.080198
85,-0.079171
86,-0.329763
87,-0.315788
88,0.164163
89,-0.184956
90,-0.204407
91,-0.13349
92,0.202169
93,-0.069091
94,-0.016543
95,-0.267037
96,0.198803
97,-0.305393
98,0.090152
99,0.145218
100,0.069161
101,-0.34643
102,0.250605
103,0.545089
104,0.407696
105,0.415555
106,-0.042634
107,0.201685
108,-0.127621
109,0.375443
110,-0.002334
111,-0.111739
112,0.040726
113,0.067948
114,-0.169257
115,-0.16883
116,-0.358359
117,0.143114
118,-0.088743
119,0.178409
120,0.267851
121,-0.162446
122,-0.251723
123,0.178244
124,-0.283823
125,-0.152873
126,0.503295
127,0.212649
128,-0.386042
129,0.008784
130,0.169455
131,-0.031364
132,-0.22507
133,0.127514
134,0.107638
135,0.089764
136,-0.203376
137,-0.300296
138,0.276491
139,9.4e-05
140,-0.451337
141,0.017021
142,-0.027176
143,0.060922
144,0.283214
145,0.273318
146,0.166135
147,-0.204798
148,-0.126904
149,-0.04694
150,-0.337067
151,0.070243
152,-0.155872
153,-0.010223
154,-0.050252
155,-0.240631
156,0.080966
157,0.11044
158,0.241164
159,0.028623
160,0.067913
161,0.04159
162,-0.110747
163,0.207792
164,-0.138317
165,0.046655
166,-0.230867
167,0.292789
168,0.453422
169,0.137884
170,0.042277
171,0.162127
172,0.060929
173,0.10472
174,-0.042092
175,0.207554
176,0.348484
177,-0.189244
178,0.031653
179,0.040546
180,-0.074853
181,0.349191
182,-0.088909
183,-0.063674
184,-0.139136
185,0.070616
186,0.143867
187,0.106425
188,0.023495
189,-0.224141
190,0.404814
191,-0.141866
192,-0.161674
193,0.108881
194,-0.084036
195,-0.335821
196,0.047677
197,-0.162847
198,0.266548
199,-0.030251
200,-0.205886
201,-0.024093
202,0.441524
203,-0.09383
204,-0.113928
205,-0.185745
206,-0.070925
207,0.272153
208,0.194084
209,-0.002579
210,-0.310996
211,0.090789
212,0.337273
213,0.111126
214,-0.215487
215,0.166344
216,0.008838
217,-0.138997
218,-0.03149
219,0.12872
220,-0.373132
221,0.18412
222,0.068617
223,0.079028
224,0.029538
225,-0.044116
226,0.542786
227,-0.10475
228,-0.306255
229,0.05082
230,-0.042907
231,0.302655
232,0.010774
233,-0.018471
234,0.12202
235,-0.025853
236,-0.041843
237,0.00499
238,0.063492
239,-0.207832
240,-0.133461
241,0.111013
242,-0.18963
243,-0.203838
244,-0.0891
245,0.110642
246,-0.019363
247,-0.165247
248,-0.113936
249,0.005721
250,-0.165315
251,-0.197557
252,-0.169369
253,0.386787
254,0.091546
255,-0.049982
256,0.083032
257,-0.191086
258,-0.105859
259,-0.100793
260,0.371302
261,0.710302
262,0.184671
263,0.144624
264,0.256436
265,0.280797
266,0.078363
267,0.144618
268,-0.129681
269,0.165904
270,0.1792
271,0.089911
272,0.024826
273,0.204691
274,-0.17115
275,0.056946
276,0.092402
277,0.312499
278,-0.081845
279,-0.266781
280,0.215502
281,-0.091973
282,-0.003085
283,0.328618
284,-0.093579
285,0.184588
286,-0.041716
287,-0.012402
288,0.137417
289,0.488444
290,-0.115856
291,-0.122146
292,0.139647
293,-0.206476
294,-0.057081
295,-0.077983
296,-0.205198
297,-0.0527
298,-0.215922
299,-0.144588
300,-0.047236
301,0.165914
302,0.008056
303,0.471487
304,-0.008817
305,-0.09359
306,0.304135
307,0.096892
308,0.001131
309,0.019424
310,-0.122556
311,0.051376
312,0.385538
313,-0.124694
314,0.059634
315,-0.046067
316,0.105104
317,0.003156
318,0.216643
319,0.213557
320,-0.206706
321,-0.25838
322,-0.053837
323,0.156544
324,0.002752
325,-0.144962
326,0.111411
327,-0.188355
328,-0.0022
329,-0.032323
330,-0.3277
331,-0.25993
332,0.189371
333,0.310392
334,0.036615
335,0.526904
336,0.091055
337,0.023174
338,0.029298
339,-0.029518
340,-0.26967
341,0.232547
342,-0.240551
343,0.363414
344,0.310659
345,0.299923
346,0.552857
347,0.041931
348,0.093609
349,-0.010594
350,-0.239656
351,-0.334626
352,-0.164113
353,-0.034378
354,0.160438
355,-0.334905
356,-0.075147
357,0.045855
358,0.078488
359,0.10155
360,0.015455
361,0.250982
362,0.355056
363,0.053806
364,-0.213877
365,-0.262795
366,0.023496
367,-0.440361
368,0.198861
369,0.180002
370,0.367553
371,-0.159724
372,-0.325558
373,0.250903
374,-0.174443
375,0.495449
376,-0.12875
377,-0.209885
378,-0.195917
379,0.275273
380,-0.133695
381,-0.092433
382,-0.193993
383,-0.028555
384,-0.08889
385,-0.192158
386,0.03561
387,0.285712
388,0.191326
389,-0.071075
390,0.169773
391,-0.055866
392,-0.329665
393,-0.16489
394,0.088941
395,-0.031688
396,-0.0165
397,-0.208897
398,0.301961
399,0.194068
400,-0.208129
401,-0.108198
402,-0.074726
403,-0.212157
404,-0.03525
405,-0.351882
406,-0.177978
407,0.354401
408,-0.219967
409,-0.422827
410,0.035017
411,0.017439
412,-0.018592
413,-0.046381
414,0.054438
415,-0.087248
416,-0.039863
417,0.036248
418,-0.042717
419,-0.089058
420,-0.04003
421,-0.150081
422,0.007041
423,0.315787
424,-0.112955
425,-0.223411
426,0.078608
427,-0.108324
428,-0.185963
429,-0.106508
430,0.405731
431,-0.022446
432,0.033166
433,0.142875
434,0.268113
435,0.365339
436,-0.286733
437,-0.100613
438,0.233112
439,-0.219489
440,-0.23654
441,0.312592
442,-0.232538
443,-0.158659
444,-0.23483
445,-0.01612
446,-0.204177
447,0.041797
448,-0.080515
449,0.378212
450,-0.248332
451,-0.169277
452,-0.094501
453,-0.052035
454,0.271087
455,-0.25951
456,0.050587
457,0.124772
458,-0.35775
459,0.43976
460,-0.225274
461,-0.153837
462,-0.102227
463,0.203023
464,-0.334192
465,0.146674
466,-0.37575
467,0.234017
468,0.004579
469,-0.152944
470,-0.266112
471,0.190409
472,-0.020629
473,0.076185
474,-0.275589
475,-0.264479
476,0.334504
477,0.552385
478,-0.103452
479,-0.07004
480,0.295879
481,-0.013465
482,0.08848
483,0.275736
484,0.035905
485,0.408782
486,0.204727
487,-0.129778
488,0.02018
489,0.189052
490,-0.170969
491,-0.074786
492,0.21585
493,0.536626
494,-0.100336
495,0.045515
496,-0.141015
497,-0.113834
498,0.012742
499,-0.165904
500,0.444987
