quarter_id,italy_actual,italy_synthetic,gap,period
20201,11.7187,11.7696,-0.051,pre
20202,11.871,11.8871,-0.0161,pre
20203,11.7699,11.7899,-0.02,pre
20204,11.9422,11.9395,0.0026,pre
20211,12.0403,12.0293,0.011,pre
20212,12.0417,12.0198,0.022,pre
20213,11.9124,11.8935,0.0189,pre
20214,12.0467,12.0238,0.0229,pre
20221,12.1878,12.1543,0.0335,pre
20222,12.213,12.2025,0.0105,pre
20223,12.141,12.1416,-0.0005,pre
20224,12.2452,12.2703,-0.025,pre
20231,12.3423,12.349,-0.0066,pre
20232,12.3384,12.3245,0.0139,post
20233,12.2309,12.2492,-0.0183,post
20234,12.3455,12.3471,-0.0015,post
20241,12.4353,12.4258,0.0095,post
20242,12.442,12.4037,0.0383,post
20243,12.3378,12.3264,0.0114,post
20244,12.4518,12.4498,0.002,post
20251,12.5606,12.5643,-0.0037,post
20252,12.6423,12.6125,0.0298,post
20253,12.6027,12.5543,0.0484,post
