variable,coef,se,pvalue
const,-0.018825674998653518,0.006172689136045504,0.0022896815402085723
ins_sis,0.0031997009001261327,0.002751901020035284,0.24494156898681696
ins_essalud,0.23593737990309954,0.20390411423033553,0.24723164827540278
q2,0.007293450640202201,0.0016753221328879816,1.3400455237470542e-05
q3,0.011789396274650052,0.0021104685813729007,2.3215733443368856e-08
q4,0.015543394679928853,0.0032380562488188943,1.584884157464483e-06
q5,0.022289456680998743,0.005427382177924818,4.01087615588046e-05
ins_sis_x_q2,-0.00568840370098675,0.0049329469142039865,0.24885082136617787
ins_sis_x_q3,-0.00574016937317624,0.004254851196899824,0.17730865073228919
ins_sis_x_q4,-0.007503411232526204,0.005042688435731032,0.1367566025339049
ins_sis_x_q5,-0.010198393368011812,0.006463737310794204,0.11461481205530753
ins_essalud_x_q2,-0.24801642622338044,0.20413287688240367,0.22437546935391017
ins_essalud_x_q3,-0.26063003410015645,0.20391769029483678,0.20120926910247106
ins_essalud_x_q4,-0.2546951134945796,0.20399980491736894,0.21184557380774915
ins_essalud_x_q5,-0.23897573557345445,0.20407239564566101,0.2415850679500703
age_head,0.000489258699044983,0.0002465149778720653,0.04717766804413824
age_head_sq,-2.351906813061103e-06,2.556163132076215e-06,0.35752436476170046
female_head,0.003159083407436997,0.0016795084670421356,0.05997775223215336
educ_years,-0.0001740295877060035,0.0001519214575041455,0.2519923991966282
hh_size,0.003663955343300711,0.0007899153599009055,3.510910795187603e-06
children_u5,-0.002298656213914432,0.0019243519097267242,0.2322788128775558
elderly_65,0.0018088083630634407,0.0019994821517608013,0.3656569774470353
rural,-0.003106522275755935,0.0015800922496874944,0.04929415771813403
hospitalized,2.122122809135757e-15,8.790594170283235e-16,0.01577484799861062
chronic_any,0.006395891476436046,0.002385551739114024,0.0073381621841237185
dept_11,0.0036383713431197154,0.001985069879253594,0.06682218234187576
dept_12,-6.534375260939198e-05,0.0017593825997634996,0.9703732504411714
dept_13,0.007538599126565688,0.002832650731370751,0.0077834203786295054
dept_14,0.005020395709365806,0.0022752104353135436,0.027344587529492675
dept_15,0.0040193982170755455,0.002400205547772237,0.09401159354428766
dept_16,0.0031737021572529715,0.004338391198271978,0.46445002040681926
dept_17,-0.006471453581865192,0.003695267754249717,0.07989745485943356
dept_18,-0.0033703551123481887,0.004302810079640327,0.43345587838807353
dept_19,0.0007031696409269428,0.0032810704019074623,0.830304502048521
dept_20,0.002346478621903974,0.002188733404960661,0.2836879356231816
dept_21,0.016923312176462868,0.00461619516842442,0.0002463028693580726
dept_22,0.003650465434227539,0.0026136790507287184,0.16251072148428092
dept_23,0.007119665219670109,0.006043548811785519,0.23877254822023253
dept_24,-0.0005470079001597461,0.003285087732541921,0.8677537118071315
dept_25,-0.003505856911142766,0.0022141539746537487,0.11333387144069347
dept_30,-0.002568031520425331,0.0021434436000165764,0.23088322044113407
dept_40,0.005630777869594028,0.0038952257296855633,0.14830098676144893
dept_50,-0.0025795272416652562,0.0019481148091447496,0.18546499076700396
dept_51,-0.002844424150562887,0.003999861628978084,0.47700328603346653
dept_60,0.010437622455940827,0.0025171167937496188,3.3736342157688145e-05
dept_61,0.0226653883669842,0.008467354173643795,0.00743296519080784
dept_70,0.007887544927202299,0.004701310070322261,0.09339915610184235
dept_80,-0.0015159886474413325,0.003048240489216566,0.6189546930118857
dept_81,-0.007066870316766511,0.00281622288120483,0.012095583183769864
dept_90,-0.005524149566216585,0.0020169856682722125,0.006166115606432915
