tau,variable,coef,se,pvalue,pseudo_r2
0.1,const,-7.355592484256595e-08,2.744817227770646e-08,0.00736636522065659,-1.7796609688369713e-05
0.1,ins_sis,1.047769018395522e-09,1.0594050181251027e-08,0.9212163606728374,-1.7796609688369713e-05
0.1,ins_essalud,7.358145583777294e-08,5.999506500763158e-08,0.22002619322726824,-1.7796609688369713e-05
0.1,q2,4.793086130391295e-08,5.362458615329541e-09,0.0,-1.7796609688369713e-05
0.1,q3,1.0198640402507695e-07,8.689202435109967e-09,0.0,-1.7796609688369713e-05
0.1,q4,2.031501326759848e-07,1.5072856152452774e-08,0.0,-1.7796609688369713e-05
0.1,q5,3.058468686538451e-07,2.7674448829728326e-08,0.0,-1.7796609688369713e-05
0.1,ins_sis_x_q2,-1.8391392576131202e-08,1.3675999739711599e-08,0.1786920003146677,-1.7796609688369713e-05
0.1,ins_sis_x_q3,-5.099873891758077e-08,1.4594757331404297e-08,0.00047527262693747296,-1.7796609688369713e-05
0.1,ins_sis_x_q4,-9.355997531774505e-08,1.896288558874319e-08,8.062562433241993e-07,-1.7796609688369713e-05
0.1,ins_sis_x_q5,-1.3684856426613848e-07,3.304722054279045e-08,3.457938657591697e-05,-1.7796609688369713e-05
0.1,ins_essalud_x_q2,-1.3011233120295249e-07,8.84829428110825e-08,0.14143200203643702,-1.7796609688369713e-05
0.1,ins_essalud_x_q3,-2.3466549948650505e-07,7.289575475877057e-08,0.0012855195481660253,-1.7796609688369713e-05
0.1,ins_essalud_x_q4,-2.4437200165604175e-07,6.17520952563085e-08,7.579947205726967e-05,-1.7796609688369713e-05
0.1,ins_essalud_x_q5,-2.5036656695299637e-07,6.87300314694905e-08,0.0002697370547701805,-1.7796609688369713e-05
0.1,age_head,3.643847562495189e-09,8.824606553543704e-10,3.64043749641052e-05,-1.7796609688369713e-05
0.1,age_head_sq,-3.1558044241646897e-11,8.045935920461411e-12,8.773168871645254e-05,-1.7796609688369713e-05
0.1,female_head,2.1499613997887427e-08,5.241622974157202e-09,4.10109207751308e-05,-1.7796609688369713e-05
0.1,educ_years,-1.9379244795267195e-09,5.697611818747587e-10,0.0006706800412821234,-1.7796609688369713e-05
0.1,hh_size,4.078139540154863e-08,2.472392482053753e-09,0.0,-1.7796609688369713e-05
0.1,children_u5,-1.4992485819534084e-08,7.312823562974055e-09,0.04034845356582384,-1.7796609688369713e-05
0.1,elderly_65,6.544881802370063e-09,4.851544159075326e-09,0.17732711940480916,-1.7796609688369713e-05
0.1,rural,-7.732528232287086e-08,6.538494157986694e-09,0.0,-1.7796609688369713e-05
0.1,hospitalized,2.2178618725723812e-20,8.00003788577453e-19,0.977882966054415,-1.7796609688369713e-05
0.1,chronic_any,4.121032703037777e-08,6.675510548440265e-09,6.685392239802468e-10,-1.7796609688369713e-05
0.1,dept_11,1.0277221672251028e-06,4.962657599213554e-07,0.038367124168524835,-1.7796609688369713e-05
0.1,dept_12,4.129139503991957e-08,1.5099616110436496e-08,0.0062456311810894505,-1.7796609688369713e-05
0.1,dept_13,5.649164380694841e-09,1.6692791178706123e-08,0.735047156347878,-1.7796609688369713e-05
0.1,dept_14,-7.097988075327183e-08,1.7012370827656476e-08,3.0160515620325512e-05,-1.7796609688369713e-05
0.1,dept_15,-5.9270449622270255e-08,1.2392612226745577e-08,1.729351068568974e-06,-1.7796609688369713e-05
0.1,dept_16,-7.213907065655268e-08,1.4918544978441357e-08,1.3279139572386356e-06,-1.7796609688369713e-05
0.1,dept_17,-1.8568782624656056e-07,1.8681998381135006e-08,0.0,-1.7796609688369713e-05
0.1,dept_18,-1.169883389873065e-07,1.4438004303788657e-08,4.440892098500626e-16,-1.7796609688369713e-05
0.1,dept_19,2.3068643707678592e-08,1.613123105079163e-08,0.15269952473614978,-1.7796609688369713e-05
0.1,dept_20,7.695250359777758e-09,1.4656597393429022e-08,0.599557734011616,-1.7796609688369713e-05
0.1,dept_21,2.9337920932352374e-08,1.2710929808654711e-08,0.020994345848853957,-1.7796609688369713e-05
0.1,dept_22,-3.931306557053139e-08,1.3721804207161554e-08,0.004169999795659907,-1.7796609688369713e-05
0.1,dept_23,-8.577253497413879e-08,1.3276548865564582e-08,1.043891639795902e-10,-1.7796609688369713e-05
0.1,dept_24,-8.782265540018413e-08,1.9904211902240568e-08,1.0229485012169803e-05,-1.7796609688369713e-05
0.1,dept_25,1.9277329775150165e-07,3.539695171622583e-08,5.1502881959208935e-08,-1.7796609688369713e-05
0.1,dept_30,-5.373730445339679e-08,1.3470435321046232e-08,6.627485424104407e-05,-1.7796609688369713e-05
0.1,dept_40,-4.4224777544261456e-08,1.4307783420574785e-08,0.001995109169208309,-1.7796609688369713e-05
0.1,dept_50,-1.0292522811660254e-08,1.3546550053013351e-08,0.4473805826223929,-1.7796609688369713e-05
0.1,dept_51,-3.9426023055607835e-08,2.2213366348454312e-08,0.07591797546058765,-1.7796609688369713e-05
0.1,dept_60,2.5897193538286217e-08,1.4120463054187509e-08,0.06665121578865119,-1.7796609688369713e-05
0.1,dept_61,1.7131113568677151e-09,2.4051111038130403e-08,0.9432163362807864,-1.7796609688369713e-05
0.1,dept_70,-5.128057736357098e-08,1.8648753982604664e-08,0.0059629368959666085,-1.7796609688369713e-05
0.1,dept_80,-8.656358602696615e-08,1.6136188099163398e-08,8.114575811291047e-08,-1.7796609688369713e-05
0.1,dept_81,-4.7446340352450544e-08,2.5577847461100235e-08,0.06359939045602414,-1.7796609688369713e-05
0.1,dept_90,-8.034534691144039e-08,1.4106394964765791e-08,1.2288957851325222e-08,-1.7796609688369713e-05
0.25,const,-3.507435683936512e-07,9.680888077912211e-08,0.0002911477363085613,0.002110438407364912
0.25,ins_sis,9.144587646779503e-09,2.8530489475281544e-08,0.7485743001929452,0.002110438407364912
0.25,ins_essalud,2.60029902198457e-07,0.00025207406334282044,0.9991769331411422,0.002110438407364912
0.25,q2,1.2496098778024796e-07,1.700238040733156e-08,1.9872992140790302e-13,0.002110438407364912
0.25,q3,2.8979556517568874e-07,2.8097260603664404e-08,0.0,0.002110438407364912
0.25,q4,7.239182838804478e-06,1.9304434293599913e-05,0.7076596969680145,0.002110438407364912
0.25,q5,0.0010462141784970927,0.0002820753207121659,0.00020808870926991574,0.002110438407364912
0.25,ins_sis_x_q2,-4.641648601954666e-08,3.734370791974123e-08,0.21388503276419524,0.002110438407364912
0.25,ins_sis_x_q3,-1.692538124479676e-07,4.262129083074157e-08,7.153868993103885e-05,0.002110438407364912
0.25,ins_sis_x_q4,-6.934497261995069e-06,1.930156873381989e-05,0.7193922364512453,0.002110438407364912
0.25,ins_sis_x_q5,-0.0010456969233035164,0.0002820628681038515,0.0002094653377544553,0.002110438407364912
0.25,ins_essalud_x_q2,-4.197419453731195e-07,0.00025208884675212683,0.9986714784596771,0.002110438407364912
0.25,ins_essalud_x_q3,-7.700044268748374e-07,0.0002520837639317512,0.9975628192828188,0.002110438407364912
0.25,ins_essalud_x_q4,-7.424527924090331e-06,0.0002526285865786524,0.9765542624228851,0.002110438407364912
0.25,ins_essalud_x_q5,-0.0010460948164835169,0.00036828984904729997,0.004505533660981387,0.002110438407364912
0.25,age_head,1.3188084956500823e-08,2.881739346412349e-09,4.7297272627311315e-06,0.002110438407364912
0.25,age_head_sq,-1.0546068597534607e-10,2.5522808841829912e-11,3.5959345323188785e-05,0.002110438407364912
0.25,female_head,8.035223768011768e-08,1.748807616204574e-08,4.333991389104952e-06,0.002110438407364912
0.25,educ_years,-6.740400112027739e-09,2.0256689418973256e-09,0.0008763105292921569,0.002110438407364912
0.25,hh_size,1.5223842190633503e-07,1.2964077111640345e-08,0.0,0.002110438407364912
0.25,children_u5,-3.610562601656236e-08,2.733225748375864e-08,0.18650485469098266,0.002110438407364912
0.25,elderly_65,1.6891573841792046e-08,1.6073493340334274e-08,0.2933062438684244,0.002110438407364912
0.25,rural,-2.6462261488008666e-07,2.4032191327280522e-08,0.0,0.002110438407364912
0.25,hospitalized,8.607508123799594e-15,4.590320362164838e-13,0.9850393984583605,0.002110438407364912
0.25,chronic_any,1.372524209428561e-07,2.2721747652287836e-08,1.5356598215277018e-09,0.002110438407364912
0.25,dept_11,0.004116061163421951,0.0004620824177537011,0.0,0.002110438407364912
0.25,dept_12,1.571234326166604e-07,5.372521021802352e-08,0.003449264144290698,0.002110438407364912
0.25,dept_13,3.598800321760928e-08,5.757949369189578e-08,0.5319617152128808,0.002110438407364912
0.25,dept_14,-2.1279778028723223e-07,6.09214117113484e-08,0.00047764737867561635,0.002110438407364912
0.25,dept_15,-1.8909299622915663e-07,4.3042349000342524e-08,1.1170206331012622e-05,0.002110438407364912
0.25,dept_16,-2.461969133989742e-07,5.0868742122633444e-08,1.2993932574367761e-06,0.002110438407364912
0.25,dept_17,-7.351208260765132e-07,1.0985485858102012e-07,2.2052359938129484e-11,0.002110438407364912
0.25,dept_18,-3.532149368058511e-07,4.956063171913758e-08,1.0262901639634947e-12,0.002110438407364912
0.25,dept_19,7.800406600530459e-08,5.341575295459042e-08,0.14420228339781138,0.002110438407364912
0.25,dept_20,5.1647898867633014e-08,5.195231382614817e-08,0.32015447401569475,0.002110438407364912
0.25,dept_21,9.77816571973024e-08,4.208709660874861e-08,0.02016214177187914,0.002110438407364912
0.25,dept_22,-1.2887984675554015e-07,4.5659494102284156e-08,0.004763154287804827,0.002110438407364912
0.25,dept_23,-2.706627819304655e-07,4.377025537225043e-08,6.261038354438142e-10,0.002110438407364912
0.25,dept_24,-2.8033626251579333e-07,6.74829152572127e-08,3.2645431144340264e-05,0.002110438407364912
0.25,dept_25,0.0009169480046336201,0.0005329387232270984,0.08533241627844035,0.002110438407364912
0.25,dept_30,-1.5993389287812495e-07,4.077417415166037e-08,8.765992870940487e-05,0.002110438407364912
0.25,dept_40,-1.480079154066307e-07,4.758209820559029e-08,0.0018672041105156634,0.002110438407364912
0.25,dept_50,-3.2961509356177004e-08,4.289340193325732e-08,0.4422188514895553,0.002110438407364912
0.25,dept_51,-1.1397490746563987e-07,6.482742504812453e-08,0.07872574219202244,0.002110438407364912
0.25,dept_60,7.554458502051936e-08,4.540250415337138e-08,0.09613523972430782,0.002110438407364912
0.25,dept_61,8.94657048662184e-09,7.508552966764967e-08,0.9051551508643818,0.002110438407364912
0.25,dept_70,-1.76593732355208e-07,6.408440431156408e-08,0.005857691455604996,0.002110438407364912
0.25,dept_80,-2.708523208656219e-07,5.4079385415125015e-08,5.487843790508151e-07,0.002110438407364912
0.25,dept_81,-1.5251520572686408e-07,8.15124832831569e-08,0.06133598506421545,0.002110438407364912
0.25,dept_90,-2.4768808152413434e-07,4.233544371247224e-08,4.897795946590122e-09,0.002110438407364912
0.5,const,-0.002011657659334161,0.00036754241475914456,4.4181441616331085e-08,0.025181123861475974
0.5,ins_sis,-1.4470260906464878e-05,0.00010953147594095526,0.8948968702999827,0.025181123861475974
0.5,ins_essalud,0.0005197691587571234,0.0005651436833448313,0.35772352845296695,0.025181123861475974
0.5,q2,0.0006286850042453147,0.00012494081919995026,4.857379822809094e-07,0.025181123861475974
0.5,q3,0.002233348299389779,0.0002649286313093194,0.0,0.025181123861475974
0.5,q4,0.004613686530379736,0.0004223919318617997,0.0,0.025181123861475974
0.5,q5,0.0056512686153722975,0.0005643226370712172,0.0,0.025181123861475974
0.5,ins_sis_x_q2,-0.0002743584396736315,0.00017972514530866274,0.12687430635160202,0.025181123861475974
0.5,ins_sis_x_q3,-0.0010296414420140412,0.0003348464809387403,0.0021052676709616414,0.025181123861475974
0.5,ins_sis_x_q4,-0.0022127027837004994,0.00047503747682132503,3.1936732514115107e-06,0.025181123861475974
0.5,ins_sis_x_q5,-0.0017154546446451141,0.0007451703579167421,0.021329687502937844,0.025181123861475974
0.5,ins_essalud_x_q2,-0.0008154517942039901,0.0014359653344631796,0.5701184393706265,0.025181123861475974
0.5,ins_essalud_x_q3,-0.0036240831112462598,0.001360435072245835,0.007723712423867157,0.025181123861475974
0.5,ins_essalud_x_q4,-0.004624558485449744,0.0007283387492612653,2.1607071687412827e-10,0.025181123861475974
0.5,ins_essalud_x_q5,-0.004669415856318228,0.0009680782793612242,1.4114098478845705e-06,0.025181123861475974
0.5,age_head,7.269967712283786e-05,1.0697100727806171e-05,1.0741185718643464e-11,0.025181123861475974
0.5,age_head_sq,-5.843740698936757e-07,9.254207992531461e-08,2.707125634771046e-10,0.025181123861475974
0.5,female_head,0.00020715004942427557,8.043936275210172e-05,0.01001727677767228,0.025181123861475974
0.5,educ_years,-1.7258742597616608e-05,9.22935572586412e-06,0.06148611408943938,0.025181123861475974
0.5,hh_size,0.000495447733738834,5.669677372365992e-05,0.0,0.025181123861475974
0.5,children_u5,0.00022541630978615575,0.00017687906345099818,0.20251842544853815,0.025181123861475974
0.5,elderly_65,0.00013490950049709137,8.399322515528947e-05,0.10823106580847908,0.025181123861475974
0.5,rural,-0.0009151442106722079,0.0001326425357951841,5.224931598490912e-12,0.025181123861475974
0.5,hospitalized,-1.1003553784598734e-16,5.197842612216595e-15,0.9831104736658449,0.025181123861475974
0.5,chronic_any,0.0007464592643694117,0.00015276578225511023,1.0274920505537466e-06,0.025181123861475974
0.5,dept_11,0.01077090399063001,0.0007803643299922408,0.0,0.025181123861475974
0.5,dept_12,0.0011271240902528696,0.0004991591798557485,0.023942829082250316,0.025181123861475974
0.5,dept_13,0.0014321035958239064,0.0006365201226368317,0.024455596012260772,0.025181123861475974
0.5,dept_14,0.0010895058094303185,0.0009531431907955581,0.25301108714989007,0.025181123861475974
0.5,dept_15,-6.0566794742618574e-05,0.00018327097695960528,0.7410397661480332,0.025181123861475974
0.5,dept_16,-0.0010943209945976648,0.00018552918585036822,3.670955095458339e-09,0.025181123861475974
0.5,dept_17,-0.0017950925495608771,0.0002727129004998494,4.630607008948573e-11,0.025181123861475974
0.5,dept_18,-0.0010914886357453273,0.00021526269606030667,3.967802904014661e-07,0.025181123861475974
0.5,dept_19,0.00039838308180962156,0.00028077470837187355,0.1559366381955154,0.025181123861475974
0.5,dept_20,0.00036275370454119877,0.00034365270148183937,0.2911590969570561,0.025181123861475974
