tau,variable,coef,se,pvalue
0.25,ins_sis,-0.0022371346401554673,0.00038078413618297967,4.226567682287613e-09
0.25,ins_essalud,-0.005133834051706044,0.0010763376326191612,1.8447798128777687e-06
0.25,q2,0.006256820908403901,0.00047816041166853015,4.0014652880929264e-39
0.25,q3,0.008562185773664268,0.000528810860563766,5.799819301366335e-59
0.5,ins_sis,-0.0022384506862550843,0.0003798876720761267,3.806229997626295e-09
0.5,ins_essalud,-0.004830417737027308,0.0010647957524526361,5.720266747196158e-06
0.5,q2,0.005199627338823131,0.0004609152015661383,1.6271132400628225e-29
0.5,q3,0.0071058295625863795,0.0005125781656970654,1.0626351849881551e-43
0.75,ins_sis,-0.002567709778275256,0.0006510952935529571,8.024159194046723e-05
0.75,ins_essalud,-0.00568036895931606,0.0018582628198734934,0.0022370097092376637
0.75,q2,0.0041931718643227435,0.000723227600624396,6.716676920063421e-09
0.75,q3,0.006524005975778335,0.000824128365461331,2.4478166174498508e-15
0.9,ins_sis,-0.012473183897678498,0.0032190852419088953,0.00010672967685549121
0.9,ins_essalud,-0.022380475465681633,0.008480627291782658,0.008314808751007803
0.9,q2,0.01996121949393733,0.0033268785817703807,1.9733652222127338e-09
0.9,q3,0.030089154178932244,0.003992795249450812,4.851192380026669e-14
