check,outcome,coef,se,pvalue,n
a1-Weighted-FullControls,oop_share,-0.0005586243457720634,0.001927844291011376,0.7719950156549669,33691
a2-Weighted-NoRegionFE,oop_share,-0.0003084509102817724,0.0019514592877315977,0.874408205261303,33691
a3-Weighted-Bivariate,oop_share,0.00468535878260977,0.0017121657032105782,0.006209468406019258,33691
a4-Unweighted-FullControls,oop_share,0.001257837565804053,0.0011921554451214966,0.29138175718332293,33691
b1-UrbanOnly,oop_share,-0.0011820729167692583,0.002118013246168719,0.5767729657193598,22031
b2-RuralOnly,oop_share,0.0056304297082514915,0.0023355704045385003,0.015920628279379172,11660
b3-WorkingAge,oop_share,-0.00025916421310149206,0.0022272197007463385,0.9073654816070722,25124
b4-PositiveOOP,oop_share,-0.0007495929507460779,0.002995884704513995,0.8024268523498458,18843
c-CHE10pct,che_10pct,-0.004874893262610665,0.004068857588266263,0.23087856852866406,33691
c-CHE25pct,che_25pct,-0.0014015390199338406,0.0023502678546671414,0.5509537163538198,33691
c-CHE40pct,che_40pct,0.0007577588644740056,0.0018990479650422894,0.6898781783931107,33691
d1-RandomPlacebo,oop_share,-0.00014260476008658303,0.001573913508650298,0.9278062939442343,33691
d2-EsSalud-vs-Unins,oop_share,-0.00805990358599503,0.008145871069553511,0.3224447352578603,1813
e1-NoControls,oop_share,0.00468535878260977,0.0017121657032105782,0.006209468406019258,33691
e2-DemoOnly,oop_share,0.003570815365945449,0.0018468828028749059,0.05318346526539063,33691
e3-Demo+HH,oop_share,-0.0003836717682037835,0.0019499947774916605,0.844019048437076,33691
e4-Full-NoRegion,oop_share,-0.0003084509102817724,0.0019514592877315977,0.874408205261303,33691
e5-Full+RegionFE,oop_share,-0.0005586243457720634,0.001927844291011376,0.7719950156549669,33691
f1-Floor-1pct,oop_share,-0.0005986077358782097,0.0019279569449509651,0.7561897888851988,33691
f2-Floor-10pct,oop_share,-0.0004840223052115603,0.0019274785638587091,0.8017237849271877,33691
g1-Annualize-x12,oop_share_x12,-0.00045001726911214634,0.0019069174440010813,0.81343887483315,33691
h1-NoCap,oop_share,0.006396541624457075,0.08675969359016632,0.9412275254373749,33691
i1-QR90-FullSample,oop_share,0.0018089826923527279,0.0014692773724405293,0.21825453946732018,33691
i2-QR90-UrbanOnly,oop_share,-0.0020937012157574153,0.001616125105981171,0.19515902016202058,22031
i3-QR90-RuralOnly,oop_share,0.01607105495331666,0.002791557433142923,8.777694628757772e-09,11660
