Variable,N,Weighted_Mean,Weighted_SD,Min,Median,Max
oop_share,33691,0.026518931528604538,0.09218758096261424,0.0,0.0025842667133181316,1.0
health_expend,33691,11415.23126327661,136853.28120379397,0.0,65.0,3910306.399682617
total_consumption,33691,31285.28202594008,22758.677013802724,825.153381347656,23945.349609375,308555.78125
zero_oop,33691,0.41100987245530934,0.49201702937965447,0.0,0.0,1.0
che_10pct,33691,0.05096414738375309,0.21992453947934096,0.0,0.0,1.0
che_25pct,33691,0.012924714311177215,0.11294983873893608,0.0,0.0,1.0
che_40pct,33691,0.00794740205500965,0.08879324780401762,0.0,0.0,1.0
age_head,33691,53.42982456773129,15.586449510058477,15.0,53.0,98.0
female_head,33691,0.3730129969916653,0.4836055221634273,0.0,0.0,1.0
educ_years,33691,9.885477036509025,5.514162330033053,0.0,11.0,20.0
hh_size,33691,3.344037590437173,1.7595941603187741,1.0,3.0,17.0
children_u5,33691,0.19284225968701205,0.4476964129688384,0.0,0.0,5.0
elderly_65,33691,0.40877046286935925,0.6718305133079701,0.0,0.0,5.0
rural,33691,0.20472064330020526,0.40349733767021984,0.0,0.0,1.0
chronic_any,33691,0.16266998763515614,0.3690643070766046,0.0,0.0,1.0
hospitalized,33691,0.0,0.0,0.0,0.0,0.0
