tau,quintile,insurance,total_effect,se,pvalue
0.1,1,SIS,1.047769018395522e-09,1.0594050181251027e-08,0.9212163606728374
0.1,1,EsSalud,7.358145583777294e-08,5.999506500763158e-08,0.22002619322726824
0.1,2,SIS,-1.7343623557735682e-08,1.729933143573637e-08,0.3160730407584278
0.1,2,EsSalud,-5.653087536517954e-08,1.069048127718263e-07,0.5969467263139927
0.1,3,SIS,-4.9950969899185244e-08,1.8034434862380477e-08,0.005609843647651935
0.1,3,EsSalud,-1.6108404364873212e-07,9.440973936581311e-08,0.08796661746550472
0.1,4,SIS,-9.251220629934952e-08,2.172153146292013e-08,2.053348527275567e-05
0.1,4,EsSalud,-1.707905458182688e-07,8.609720723585719e-08,0.04728992086453365
0.1,5,SIS,-1.3580079524774296e-07,3.470378487782991e-08,9.110339176277016e-05
0.1,5,EsSalud,-1.767851111152234e-07,9.123171077573352e-08,0.05265257519705124
0.25,1,SIS,9.144587646779503e-09,2.8530489475281544e-08,0.7485743001929452
0.25,1,EsSalud,2.60029902198457e-07,0.00025207406334282044,0.9991769331411422
0.25,2,SIS,-3.727189837276716e-08,4.6995120500899826e-08,0.42771871611773493
0.25,2,EsSalud,-1.5971204317466247e-07,0.0003564970127041425,0.9996425446367867
0.25,3,SIS,-1.601092248011881e-07,5.128901697028133e-08,0.0017980648863409332
0.25,3,EsSalud,-5.099745246763805e-07,0.0003564934185201167,0.9988586026004356
0.25,4,SIS,-6.92535267434829e-06,1.930158981988798e-05,0.7197469512156183
0.25,4,EsSalud,-7.164498021891874e-06,0.0003568788816487856,0.9839831979463776
0.25,5,SIS,-0.0010456877787158696,0.00028206286954677245,0.0002094921615842793
0.25,5,EsSalud,-0.0010458347865813184,0.0004462944614505576,0.019110221693078078
0.5,1,SIS,-1.4470260906464878e-05,0.00010953147594095526,0.8948968702999827
0.5,1,EsSalud,0.0005197691587571234,0.0005651436833448313,0.35772352845296695
0.5,2,SIS,-0.00028882870058009636,0.00021047154695593416,0.16997214040689546
0.5,2,EsSalud,-0.0002956826354468667,0.0015431732970099354,0.8480501454454832
0.5,3,SIS,-0.001044111702920506,0.00035230570534531825,0.003040113310342374
0.5,3,EsSalud,-0.003104313952489136,0.0014731500156539025,0.03509482213578874
0.5,4,SIS,-0.002227173044606964,0.00048750153702996156,4.911200238266744e-06
0.5,4,EsSalud,-0.00410478932669262,0.0009218810750308453,8.4827425623768e-06
0.5,5,SIS,-0.001729924905551579,0.0007531772743116786,0.02162810981446195
0.5,5,EsSalud,-0.004149646697561104,0.0011209651813484448,0.00021403183723478492
0.75,1,SIS,0.0013175517273959737,0.0010153379784299673,0.19440817421588852
0.75,1,EsSalud,0.00023068848065124168,0.31272800901134484,0.9994114286054656
0.75,2,SIS,-0.0018710973289000593,0.001877346151224077,0.3189240073119417
0.75,2,EsSalud,-0.007360860385110567,0.4416011043421965,0.9867010185361409
0.75,3,SIS,-0.002260013655601944,0.0018174412342982795,0.213678477801041
0.75,3,EsSalud,-0.003638426388059876,0.44216023477706257,0.9934344808721642
0.75,4,SIS,-0.005168192206692971,0.0018453275672269123,0.005099332964342729
0.75,4,EsSalud,-0.012599212817127585,0.4421243379516466,0.9772657687243027
0.75,5,SIS,-0.004359369743463909,0.0027657587812514317,0.11498132186448706
0.75,5,EsSalud,-0.0079032521464907,0.44225392656393314,0.9857422469909591
0.9,1,SIS,0.004689334184257522,0.005056757898479212,0.3537499999913529
0.9,1,EsSalud,0.9183088740530561,0.45510305049129884,0.04361165104952258
0.9,2,SIS,-0.002257229515770648,0.007978052561598599,0.7772305831241717
0.9,2,EsSalud,0.02392267607213372,0.6456877659656757,0.9704452075776016
0.9,3,SIS,-0.010014264531020552,0.007802036698155901,0.19930123434008884
0.9,3,EsSalud,-0.01810273620301317,0.6440497311178447,0.9775762780819923
0.9,4,SIS,-0.005991964099530074,0.00804257020723782,0.4562529815123817
0.9,4,EsSalud,-0.011593796999379347,0.6430834088888671,0.9856161573824944
0.9,5,SIS,-0.014690447770115099,0.008855549894650597,0.09713648973356115
0.9,5,EsSalud,-0.02834474043339974,0.6432718356319775,0.9648538716718007
